,adding a panel.txt,adding panel using javascript.txt,bookmarks links.txt,bookmarks manager.txt,character style printing.txt,CSS2 page printing.txt,cursor icon.txt,customizing panels.txt,Default Panels.txt,default width.txt,deleting a panel.txt,deleting all panels.txt,dragging a folder from the desktop.txt,dragging a helper-application file from the desktop.txt,dragging a large image (stress).txt,dragging a text file from the desktop.txt,dragging an image onto the desktop.txt,dragging content to a dialog.txt,dragging from manage bookmarks menu to personal toolbar.txt,dragging from the Find File window.txt,dragging image files from the desktop.txt,dragging images across browser windows.txt,dragging into a frame-set page.txt,dragging into an editor window.txt,dragging invalid items from the desktop.txt,dragging items from the Bookmark Manager.txt,dragging items to the Bookmark Manager.txt,dragging onto the application icon.txt,dragging shortcuts from the desktop.txt,dragging the proxy icon on to the Desktop.txt,dragging the proxy icon.txt,dragging URL to an AIM window.txt,dragging URLs across browser windows.txt,dragging URLs onto the desktop.txt,header_footer printing.txt,HTML 4.0 page printing.txt,listing available local panels.txt,listing available remote panels.txt,maximum width.txt,mouse over panels.txt,Mozillazine result page printing.txt,non-default width.txt,offline printing.txt,open-close of sidebar.txt,order and panel list saving.txt,page setup (Mac only).txt,panel title.txt,paragraph style printing.txt,portrait and landscape settings.txt,previewing panels before addition.txt,print preview.txt,printing frames.txt,printing HTML widgets.txt,printing images.txt,printing large pages.txt,printing lists.txt,printing page source.txt,printing pages in different formats.txt,printing pages with alignment.txt,printing pages with indentation.txt,printing range.txt,printing web pages.txt,reading a panel.txt,reordering panels.txt,table printing.txt,unselecting panel.txt,verifying that nothing changes when you cancel.txt,What's Related links.txt,What's Related lists.txt,XML test page.txt
adding a panel.txt,0.0,0.06013387252620672,0.067904723023136,0.08543186531108415,0.09810394675829925,0.1719766022819864,0.11065964946218254,0.030442326101657646,0.08352672725277555,0.11883600030600472,0.021363024219402393,0.020052307380785006,0.14086411501352036,0.14420170210872907,0.14287620231310771,0.14248374764283755,0.1933495011443841,0.11865845249023399,0.0939094257707852,0.10943573846941634,0.146295236062854,0.12773600096155524,0.14878303138533666,0.10637078340111716,0.1303396517506128,0.1321454753689253,0.1589533099029986,0.14101501257350468,0.15604459287168992,0.10962598035006965,0.1099944627014845,0.13941945161835378,0.09338809698747319,0.10807020583071913,0.15196372264503666,0.12082920323286206,0.06225997414270534,0.16562618860311829,0.13026658448682849,0.09783812906438683,0.11424373899361007,0.06871506239303538,0.12584160121874288,0.08651182035338312,0.037371048784442196,0.11273414623832156,0.03396584512248302,0.0989750473445572,0.07346677777202015,0.03848436974668845,0.11595056623572442,0.09022911020189783,0.08395280929143145,0.17291416842953367,0.10081973656078091,0.10466876018679583,0.07363461396795801,0.1036780203265859,0.10174164040657474,0.1003223382407854,0.10170543666550358,0.12854633968857332,0.036232237258234545,0.04253878997591942,0.10373297876120335,0.08962871421648433,0.04206810975124475,0.06235051294798344,0.12409546857758635,0.1155962633557227
adding panel using javascript.txt,0.06013387252620672,0.0,0.0562179274849004,0.07937805934212316,0.12562883149033144,0.16705052976074164,0.13743042052635313,0.09368895251766751,0.10376475596780854,0.1370181034984166,0.0755760878797116,0.07541676774126405,0.18651312322471747,0.18040410880989521,0.1919962738679688,0.14199827275065835,0.2384083203070656,0.15398045303525199,0.12307743067520516,0.1582095219410773,0.16885286555445955,0.17923827998852215,0.2246883288689604,0.1588756957385985,0.1823261396753756,0.17940291591320978,0.19655944677788417,0.17400205455978113,0.18082717914411706,0.14769424573560308,0.15319657087175143,0.19273792256282896,0.14898098559649697,0.14541298124865976,0.1770217508186076,0.12776554178995558,0.10876627709015463,0.2248512099003579,0.1220086503197424,0.12247154838786534,0.12991502646633746,0.0967181463042801,0.16616716678325782,0.10294904715367603,0.07571482918065553,0.11753933088435398,0.05734927936099621,0.12362847550886513,0.13260824904741475,0.09203426897961975,0.11864741596910733,0.10939583570544287,0.08130602426892042,0.203627640363782,0.12686768926555358,0.12498200547669469,0.10664958441799532,0.11865008350553952,0.10954096598163765,0.1085223716269631,0.1495759397340206,0.1223153245969747,0.09992198166919597,0.08157180180837109,0.13663129578209843,0.06924889933332967,0.08864667646272206,0.08407053253212504,0.15679888131736042,0.11780664221275083
bookmarks links.txt,0.067904723023136,0.0562179274849004,0.0,0.018717778650390815,0.11701617794806163,0.191889048348593,0.12631456639266714,0.07974366134323185,0.0979314713939885,0.14851168114651325,0.0769361160464751,0.07602438604400397,0.17051058085306003,0.1689704471276645,0.17915731765615805,0.13443788782638288,0.22651420711514858,0.14879677691218096,0.07895414346684049,0.12686902285274992,0.15625226341857767,0.16902137549104446,0.20412159813385344,0.1352912296824148,0.16807676082891798,0.15157230795090115,0.14503752994235675,0.16232695420389875,0.16564042090982034,0.11033720034112371,0.11620701856454752,0.15082033703692344,0.1258458153267903,0.12119954317541504,0.1626195805446885,0.11118519517083869,0.08906186252080961,0.18701650536682934,0.1312386970188112,0.13395335186595658,0.12960792911735441,0.09101221991926578,0.14893312739735176,0.09121716875113006,0.07727060996770208,0.14087157977538756,0.07150101970034162,0.11816088631112687,0.13452130345493307,0.09695149900159095,0.09573643822904554,0.10286523284758708,0.085040324188697,0.19773415252451332,0.11010907015623217,0.10951892191846935,0.09404181288100344,0.11838326540126576,0.11004321281146301,0.11009023825965236,0.14447973707641149,0.09188666717730709,0.09781139010261808,0.071309909094329,0.1349579434393613,0.09906181167459227,0.08000596578643149,0.055367814262534565,0.12146293321390333,0.10504918139026964
bookmarks manager.txt,0.08543186531108415,0.07937805934212316,0.018717778650390815,0.0,0.12271352729093543,0.20030976595287098,0.11961298308313606,0.09720188459267098,0.10448354872266152,0.15030992481764383,0.09048792953243312,0.08698625023863404,0.19700824964756125,0.18254083036853952,0.21203166632093906,0.1690300555235772,0.2384789767040587,0.16422361967289445,0.08726388261661511,0.1575738807491065,0.19105701503098116,0.21064603682240968,0.22173191418031868,0.1570441034610519,0.1868476274543659,0.1584713195487345,0.14759174420502752,0.18231130333740908,0.20656342766705882,0.1389071491083511,0.1563543267232138,0.14790245745494035,0.16158267279542926,0.14715069884133958,0.16648418459638503,0.11770300684864021,0.09614079482397908,0.17918414767494906,0.14207917091016786,0.13796554435943476,0.12132581651815788,0.10721872214326311,0.1596917774073051,0.1096155372394878,0.08920155290174714,0.15250106369412142,0.09329016630208009,0.1209078137538857,0.13226805405738584,0.12473839335475978,0.11210802611271442,0.10846330028781326,0.0900704328032943,0.2216980773825843,0.10910311390441241,0.11651468150010036,0.10409746261274133,0.12273848915933261,0.11295160399450077,0.11880767620550614,0.14115052767223835,0.10307872762112891,0.10219914559768584,0.0896124160243913,0.14238901428272743,0.12080358929928947,0.09004710053335863,0.07593277608930593,0.11427965036671728,0.12078194153468069
character style printing.txt,0.09810394675829925,0.12562883149033144,0.11701617794806163,0.12271352729093543,0.0,0.08939749380039841,0.14262334125035792,0.09940277559658994,0.08500524764201223,0.14280931962746024,0.0982629373190097,0.10231183076174777,0.14407808297244673,0.1056381781995831,0.15612269403183654,0.12646992604805252,0.1498973321407533,0.10570181341238183,0.09858006340225567,0.10883097809854103,0.13717316369692611,0.13724053800074099,0.14448051384192306,0.11535627813417937,0.12229123604473391,0.12326671294411151,0.13283085192430932,0.13674595607969053,0.1792588307232139,0.10489743120685213,0.12444116689071016,0.11429070611103309,0.10626024168430848,0.09567317262333042,0.08121352639691859,0.04342466961079505,0.09176964795967779,0.1826334860059471,0.1668407937963583,0.13880588187753196,0.04302916447506244,0.10892766416603783,0.05898812069491588,0.12866595454704144,0.10671677017010117,0.08685522288180625,0.11802949880376046,0.003063295269314814,0.0648362452682325,0.1257398235205045,0.07226578677775575,0.043502947740732045,0.05737655837145872,0.13510791797394117,0.04105033517679202,0.031021027002765877,0.034926382980057236,0.039397284672064936,0.04853838605674077,0.05481036744775869,0.06087814213337617,0.05500783681545829,0.0796058773029511,0.10608211181409355,0.00841565714195025,0.1868304009152537,0.10357799750632823,0.08363336386942,0.11540156224005294,0.03756242486357764
CSS2 page printing.txt,0.1719766022819864,0.16705052976074164,0.191889048348593,0.20030976595287098,0.08939749380039841,0.0,0.17761892892287734,0.19017283991820733,0.15808078015695393,0.18953613122730006,0.1808481561413493,0.18800609491735543,0.18936555015916479,0.13766407076576748,0.19175772973624028,0.17507815059584286,0.17655387784131216,0.1931379909888471,0.17569813459498784,0.16962005891405219,0.17650718372804686,0.18203895444138685,0.21475051812013146,0.17410298224246568,0.17951579978376841,0.18390185445311957,0.1832883388912826,0.17519168045061306,0.18586093195479603,0.16532572879484342,0.18059256248409794,0.2043645144063828,0.1756133448371766,0.16186735117084994,0.15990132500514642,0.13295877678666357,0.160117956826058,0.23065696516520784,0.2154345168423698,0.17729484599369127,0.13803945116127392,0.15916733979348685,0.12221989079314177,0.19286136510706253,0.17526001608458586,0.16600714943123396,0.1934038739172279,0.09472923956649337,0.17180501361802536,0.21848024852447134,0.15625164456726182,0.14700451777704993,0.12767595237916674,0.2072304978633912,0.13540412541058688,0.13335233742878538,0.12525962064728613,0.13290931449059906,0.13642993792820202,0.14265256661797687,0.15367373117230454,0.14554720053372627,0.1774022149451545,0.17607413536908212,0.08768491201020134,0.23425579942052432,0.1732678615844867,0.1478847695519362,0.17061236945080738,0.1218800427761143
cursor icon.txt,0.11065964946218254,0.13743042052635313,0.12631456639266714,0.11961298308313606,0.14262334125035792,0.17761892892287734,0.0,0.11742698341406643,0.13063022878746933,0.15337026085943573,0.10816944138401308,0.10164759630158637,0.1545658792549145,0.13352232230567773,0.1552565021609107,0.15645007479347184,0.17555367581585823,0.14065371022196138,0.13602252981846352,0.12970994387759216,0.16057224197932407,0.1630253605412384,0.2003127821005357,0.12764334488001627,0.14345177750741334,0.13173855857340366,0.15175678011279436,0.14307697087297178,0.14874761018544014,0.12479192609013656,0.147157755243833,0.1389884992265379,0.13945651104800172,0.12948493182477927,0.1888088476893709,0.16653642864095963,0.11721613926952468,0.1856220005045125,0.15889212903222005,0.0981371233007412,0.15069469863900187,0.09413335055739736,0.14196514266732385,0.07955387373690281,0.0997948542882684,0.1549299941384379,0.1427460765688109,0.14231169623452267,0.1434789915392799,0.15022102854700903,0.15611913038672298,0.14184949811775172,0.13316223990168996,0.1931553127547866,0.13518404264074335,0.14330697036688778,0.12971804405959064,0.1475161719722361,0.1430719278779241,0.14465604741835314,0.13537797646795668,0.16683123896876517,0.1132121488457758,0.0955383770427547,0.1471996615099307,0.18851859321199604,0.08908407572838006,0.0920608018325314,0.12251080803819026,0.16447621352164643
customizing panels.txt,0.030442326101657646,0.09368895251766751,0.07974366134323185,0.09720188459267098,0.09940277559658994,0.19017283991820733,0.11742698341406643,0.0,0.07854938036110892,0.14464575092925813,0.03183884379413726,0.025316003500678308,0.1514957295706365,0.14747048014951514,0.14507411026590566,0.1476569031457603,0.194044199574247,0.1312543370301653,0.09898440184719548,0.11470089617245682,0.1586975145798074,0.12776207345844026,0.1340191170474715,0.10255948830153439,0.13485915828587403,0.13899612502679037,0.1684599360110104,0.1584468033512908,0.1762328654248727,0.11241449684452876,0.10839446487109161,0.13040888161225084,0.0863722420201396,0.1049729379254909,0.14397489078022419,0.12785081756900385,0.05675962418150482,0.14857496111755641,0.15093776461115105,0.109460270126719,0.12249288743405673,0.0790807348713436,0.12350307374251279,0.10152448250721013,0.03310376392117986,0.12139329738594495,0.05180662031551686,0.10098917485763825,0.07407466966563736,0.038670174471061136,0.11723751028958196,0.08812828011201446,0.10064249049707352,0.16700722158242454,0.09617609488723144,0.10549816977756588,0.07367555605683263,0.10765902881560485,0.10576865514466505,0.10516249014717616,0.10315087298810088,0.13420646585902507,0.04074300284943699,0.036584417228472166,0.10620610041218814,0.12198656562205257,0.037227213020186944,0.06746978474217669,0.1304747299661395,0.1243830027964381
Default Panels.txt,0.08352672725277555,0.10376475596780854,0.0979314713939885,0.10448354872266152,0.08500524764201223,0.15808078015695393,0.13063022878746933,0.07854938036110892,0.0,0.0896494750464496,0.07370628617663333,0.07158728826856986,0.11620963354069314,0.11596972441878861,0.15275700965269456,0.11866745265238299,0.17106221199395266,0.10761330505103017,0.08854033574809828,0.10320467614292173,0.1451879739772457,0.13098177696581925,0.126582250074733,0.10944825737920005,0.10732129466809548,0.11256036851724671,0.13224396154148244,0.13520629976233922,0.16396524006869806,0.09861468790666483,0.10353809046661666,0.10924265565084168,0.09979758586323273,0.09576787574446477,0.12621128398796233,0.11693014756002706,0.04542189018172915,0.1265568000820395,0.13279282198871423,0.12536201845118222,0.09622740848213318,0.06442839411098256,0.12514229485412842,0.12013012645356913,0.06197932460309796,0.105153013789688,0.07998273508624343,0.08549807370139018,0.11479713617326837,0.11088591201135622,0.12612963224160267,0.09645404778680589,0.1052245982223382,0.19263994449612165,0.08049071132477614,0.07823593993225997,0.07989262186495005,0.10229544528517753,0.10428286137739984,0.10961689776822858,0.10812416792502899,0.11376426780935256,0.06181511008047047,0.06866640645297695,0.09018786800483258,0.1418121775564778,0.06557973765119096,0.06346372296061742,0.09390548697433665,0.11545699664566433
default width.txt,0.11883600030600472,0.1370181034984166,0.14851168114651325,0.15030992481764383,0.14280931962746024,0.18953613122730006,0.15337026085943573,0.14464575092925813,0.0896494750464496,0.0,0.11562043890394669,0.1103458037748507,0.13227088410422927,0.13818044516832317,0.16178948730613485,0.142991887854916,0.20551438933953903,0.1489159361874286,0.11969167009193427,0.1372156016304662,0.15667656217750492,0.14952764451024625,0.16275898664716393,0.13438504377000227,0.12442138071644981,0.13421611037556624,0.16071144689926642,0.14658177198215738,0.15043013828288587,0.1266709294108963,0.13578282117368434,0.16615135972440853,0.13895062270135095,0.1275222585044028,0.15883061637449258,0.16088654575971717,0.12188744966175602,0.2124559764838413,0.06857264508417593,0.18087014471811258,0.1377559228517624,0.040475881705507755,0.17336969356725584,0.11663249341598514,0.12106460021424681,0.13561788927790985,0.14142317097906898,0.14011145425362492,0.1430436691801329,0.17118353576754342,0.16550585118668626,0.1328409011001649,0.12139089865275321,0.25116161793404257,0.12659916900113544,0.14543852563100035,0.12161597686804393,0.13771369457059435,0.13517585624517503,0.13558314895363754,0.13982870705285377,0.18268493382618634,0.12324382304289361,0.1096755380455896,0.14379080542643696,0.1875525629263255,0.10958900214603218,0.1297984896589568,0.15768998312703952,0.17150631842204545
