Version,1_Secs,2_Secs,3_Secs,4_Secs,5_Secs,6_Secs,7_Secs,8_Secs,9_Secs,10_Secs
Cli10,0.140,0.122,0.121,0.121,0.112,0.118,0.120,0.135,0.125,0.129
Cli11,0.143,0.129,0.122,0.123,0.132,0.123,0.129,0.150,0.140,0.130
Cli12,0.143,0.151,0.137,0.156,0.126,0.137,0.152,0.138,0.144,0.142
Cli13,0.495,0.479,0.496,0.428,0.467,0.379,0.472,0.469,0.463,0.474
Cli14,0.492,0.459,0.450,0.496,0.431,0.523,0.531,0.493,0.410,0.413
Cli15,0.440,0.403,0.400,0.404,0.410,0.443,0.450,0.412,0.413,0.429
Cli16,0.438,0.439,0.403,0.412,0.395,0.406,0.471,0.437,0.498,0.412
Cli17,0.157,0.126,0.153,0.169,0.144,0.123,0.151,0.127,0.153,0.156
Cli18,0.151,0.142,0.123,0.151,0.123,0.135,0.182,0.163,0.141,0.145
Cli19,0.162,0.129,0.148,0.148,0.131,0.139,0.133,0.144,0.137,0.124
Cli1,0.108,0.100,0.092,0.109,0.117,0.104,0.126,0.110,0.102,0.100
Cli20,0.178,0.152,0.124,0.139,0.131,0.137,0.155,0.140,0.146,0.131
Cli21,0.394,0.467,0.425,0.418,0.425,0.441,0.421,0.398,0.418,0.369
Cli22,0.178,0.147,0.166,0.153,0.167,0.147,0.166,0.150,0.180,0.164
Cli23,0.172,0.145,0.155,0.156,0.138,0.164,0.168,0.161,0.157,0.163
Cli24,0.169,0.168,0.152,0.148,0.158,0.182,0.150,0.163,0.166,0.174
Cli25,0.154,0.148,0.147,0.168,0.156,0.162,0.149,0.165,0.157,0.149
Cli26,0.189,0.151,0.186,0.168,0.170,0.195,0.184,0.204,0.186,0.211
Cli27,0.253,0.225,0.226,0.207,0.255,0.233,0.191,0.215,0.208,0.199
Cli28,0.294,0.244,0.271,0.287,0.238,0.283,0.283,0.281,0.300,0.247
Cli29,0.324,0.283,0.276,0.277,0.282,0.284,0.282,0.307,0.246,0.294
Cli2,0.122,0.109,0.111,0.102,0.111,0.109,0.107,0.101,0.104,0.108
Cli30,0.309,0.323,0.313,0.297,0.316,0.307,0.287,0.287,0.314,0.299
Cli31,0.301,0.310,0.289,0.297,0.296,0.303,0.303,0.301,0.323,0.306
Cli32,0.281,0.307,0.305,0.291,0.298,0.308,0.296,0.316,0.298,0.285
Cli33,0.362,0.331,0.301,0.318,0.292,0.308,0.346,0.305,0.378,0.355
Cli34,0.309,0.320,0.319,0.337,0.337,0.311,0.301,0.369,0.347,0.571
Cli35,0.400,0.387,0.412,0.427,0.425,0.452,0.452,0.796,0.374,0.370
Cli36,0.251,0.255,0.258,0.271,0.297,0.270,0.329,0.252,0.274,0.297
Cli37,0.292,0.274,0.247,0.242,0.272,0.233,0.269,0.309,0.280,0.281
Cli38,0.343,0.306,0.291,0.279,0.309,0.322,0.331,0.310,0.309,0.309
Cli39,0.328,0.346,0.323,0.307,0.293,0.251,0.308,0.255,0.248,0.325
Cli3,0.122,0.115,0.107,0.126,0.115,0.109,0.115,0.512,0.117,0.112
Cli40,0.286,0.313,0.260,0.307,0.333,0.353,0.352,0.360,0.366,0.368
Cli4,0.115,0.117,0.136,0.111,0.100,0.111,0.099,0.112,0.107,0.106
Cli5,0.134,0.124,0.127,0.133,0.137,0.156,0.155,0.138,0.137,0.119
Cli7,0.445,0.412,0.415,0.472,0.459,0.443,0.472,0.398,0.465,0.481
Cli8,0.147,0.101,0.114,0.117,0.110,0.135,0.121,0.114,0.116,0.110
Cli9,0.131,0.111,0.107,0.144,0.112,0.107,0.138,0.133,0.105,0.121
