Version,TotalSeconds
Cli10,18.163
Cli11,17.810
Cli12,19.139
Cli13,23.081
Cli14,22.029
Cli15,22.393
Cli16,22.189
Cli17,19.159
Cli18,22.939
Cli19,19.425
Cli1,17.961
Cli20,18.659
Cli21,21.127
Cli22,18.382
Cli23,17.876
Cli24,18.096
Cli25,18.026
Cli26,17.853
Cli27,18.229
Cli28,18.839
Cli29,19.225
Cli2,18.412
Cli30,18.540
Cli31,19.135
Cli32,19.240
Cli33,19.207
Cli34,19.291
Cli35,19.898
Cli36,18.435
Cli37,19.293
Cli38,18.502
Cli39,19.373
Cli3,17.493
Cli40,19.208
Cli4,18.275
Cli5,17.912
Cli7,23.360
Cli8,20.770
Cli9,19.995
