Version,TotalSeconds
Cli10,23.284
Cli11,22.571
Cli12,22.742
Cli13,104.120
Cli14,107.456
Cli15,108.040
Cli16,109.712
Cli17,25.690
Cli18,25.651
Cli19,25.991
Cli1,22.376
Cli20,26.314
Cli21,111.201
Cli22,29.355
Cli23,31.011
Cli24,31.733
Cli25,31.739
Cli26,33.561
Cli27,40.365
Cli28,53.616
Cli29,58.715
Cli2,22.260
Cli30,62.165
Cli31,62.347
Cli32,62.932
Cli33,63.364
Cli34,63.578
Cli35,87.079
Cli36,67.452
Cli37,67.158
Cli38,67.785
Cli39,75.424
Cli3,22.377
Cli40,77.573
Cli4,22.915
Cli5,22.981
Cli7,106.379
Cli8,23.535
Cli9,23.828
