Version,TotalSeconds
Cli10,19.623
Cli11,19.598
Cli12,19.671
Cli13,60.506
Cli14,62.444
Cli15,63.390
Cli16,61.980
Cli17,20.631
Cli18,21.220
Cli19,21.074
Cli1,18.805
Cli20,20.996
Cli21,64.614
Cli22,22.912
Cli23,22.726
Cli24,23.163
Cli25,22.942
Cli26,23.987
Cli27,28.290
Cli28,35.866
Cli29,38.084
Cli2,18.708
Cli30,39.930
Cli31,39.788
Cli32,40.325
Cli33,40.386
Cli34,40.439
Cli35,51.298
Cli36,37.601
Cli37,37.624
Cli38,38.203
Cli39,41.069
Cli3,18.699
Cli40,42.937
Cli4,18.799
Cli5,18.819
Cli7,59.110
Cli8,19.116
Cli9,19.262
