Version,1_Secs,2_Secs,3_Secs,4_Secs,5_Secs,6_Secs,7_Secs,8_Secs,9_Secs,10_Secs
Codec10,0.301,0.257,0.282,0.277,0.279,0.243,0.306,0.250,0.272,0.250
Codec11,0.300,0.311,0.307,0.302,0.314,0.312,0.332,0.307,0.345,0.287
Codec12,0.403,0.369,0.318,0.342,0.319,0.353,0.399,0.346,0.397,0.365
Codec13,0.468,0.427,0.449,0.407,0.424,0.540,0.411,0.475,0.434,0.472
Codec14,0.505,0.415,0.497,0.493,0.488,0.481,0.512,0.620,0.614,0.569
Codec15,0.671,0.645,0.532,0.591,0.535,0.491,0.526,0.471,0.529,0.481
Codec16,0.574,0.460,0.569,0.462,0.561,0.481,0.564,0.458,0.523,0.566
Codec17,0.632,0.525,0.591,0.567,0.660,0.536,0.594,0.528,0.611,0.575
Codec18,0.684,0.615,0.555,0.599,0.566,0.686,0.642,0.616,0.687,0.679
Codec1,0.203,0.168,0.155,0.157,0.160,0.161,0.184,0.177,0.179,0.172
Codec2,0.271,0.210,0.185,0.212,0.204,0.192,0.200,0.201,0.191,0.184
Codec3,0.252,0.257,0.204,0.230,0.236,0.247,0.233,0.229,0.238,0.237
Codec4,0.285,0.270,0.249,0.279,0.295,0.285,0.248,0.286,0.241,0.286
Codec5,0.300,0.285,0.293,0.244,0.267,0.240,0.294,0.286,0.275,0.274
Codec6,0.314,0.266,0.276,0.270,0.286,0.267,0.259,0.310,0.259,0.279
Codec7,0.298,0.285,0.320,0.310,0.255,0.254,0.270,0.276,0.267,0.259
Codec8,0.254,0.268,0.262,0.257,0.351,0.275,0.276,0.246,0.269,0.248
Codec9,0.286,0.262,0.279,0.269,0.271,0.277,0.262,0.296,0.257,0.260
