Gson10,0.714,0.723,0.713,0.763,0.710,0.729,0.740,0.778,0.716,0.729,0.761,0.716,0.780,0.727,0.728,0.747,0.753,0.764,0.751,0.730,0.705,0.735,0.702,0.771,0.722,1.251,0.747,0.732,0.760,0.984,0.693,0.755,0.705,0.794,0.733,0.726,0.737,0.736,0.716,0.735,0.751,0.687,0.740,0.716,0.752,0.705,0.775,0.781,0.705,0.766,0.707,0.766,0.725,0.735,0.725,0.713,0.748,0.748,0.774,0.710,0.739,0.714,0.751,0.701,0.779,0.721,0.773,0.726,0.742,0.719,0.741,0.773,0.891,0.757,0.765,0.711,0.748,0.719,0.753,0.728,0.706,0.844,0.705,0.716,0.743,0.742,0.765,0.765,0.741,0.769,0.694,0.738,0.704,0.782,0.710,0.737,0.716,0.760,0.740,0.755
Gson11,0.725,0.731,0.703,0.743,0.713,0.792,0.758,0.720,0.760,0.775,0.742,0.705,0.767,0.716,0.743,0.758,0.698,0.734,0.713,0.753,0.731,0.748,0.716,0.778,0.720,0.767,0.760,0.732,0.720,0.742,0.731,0.721,0.782,0.703,0.733,0.727,0.730,0.771,0.706,0.791,0.773,0.733,0.730,0.749,0.743,0.778,0.722,0.750,0.764,0.796,0.774,0.748,0.765,0.785,0.793,0.792,0.760,0.771,0.752,0.798,0.750,0.726,0.752,0.802,0.684,0.747,0.710,0.733,0.824,0.705,0.736,0.807,0.766,0.772,0.742,0.771,0.761,0.752,0.794,0.752,0.739,0.735,0.770,0.745,0.755,0.745,0.765,0.790,0.747,0.777,0.788,0.821,0.834,0.806,0.896,0.879,0.694,0.791,0.790,0.806
Gson12,0.691,0.772,0.734,0.722,0.735,0.754,0.797,0.888,0.781,0.758,0.804,0.756,0.795,0.996,0.864,0.852,0.816,0.803,0.793,0.754,0.745,0.775,0.826,0.780,0.780,0.773,0.793,0.797,0.792,0.785,0.760,0.754,0.764,0.766,0.754,0.772,0.772,0.757,0.736,0.773,0.775,0.755,0.809,0.760,0.759,0.763,0.761,0.771,0.756,0.759,0.679,0.767,0.787,0.763,0.813,0.780,0.758,0.771,0.806,0.751,0.784,0.821,0.779,1.012,0.720,0.773,0.738,0.754,0.745,0.776,0.745,0.793,0.756,0.816,0.779,0.797,0.779,0.716,0.816,0.766,0.751,0.760,1.233,0.772,0.756,0.727,0.771,0.730,0.778,0.822,0.744,0.773,0.763,0.771,0.750,0.783,0.745,0.777,0.768,0.751
Gson13,0.742,0.741,0.780,0.780,0.755,0.745,0.770,0.738,0.746,0.755,0.808,0.747,0.785,0.940,0.895,0.824,0.886,0.757,0.761,0.849,0.677,0.779,0.712,0.787,0.662,0.760,0.653,0.729,0.695,0.743,0.645,0.683,0.761,0.764,0.662,0.771,0.764,0.668,0.773,0.787,0.760,0.653,0.778,0.660,0.768,0.664,0.776,0.798,0.723,0.796,0.659,0.797,0.656,0.793,0.735,0.745,0.676,0.786,0.677,0.662,0.778,0.653,0.679,0.762,0.661,0.750,0.777,0.660,0.743,0.690,0.751,0.669,0.815,0.716,0.818,0.680,0.770,0.675,0.806,0.668,0.781,0.683,0.672,0.746,0.786,0.768,0.721,0.751,0.771,0.670,0.779,0.668,0.753,0.656,0.728,0.690,0.797,0.727,0.759,0.704
Gson14,0.811,0.682,0.644,0.671,0.767,0.678,0.765,0.772,0.661,0.771,0.766,0.745,0.675,0.765,0.684,0.788,0.815,0.713,0.767,0.676,0.766,0.669,0.755,0.806,0.662,0.794,0.685,0.756,0.716,0.748,0.678,0.779,0.650,0.756,0.678,0.776,0.656,0.876,0.673,0.670,0.777,0.675,0.778,0.664,0.758,0.757,0.760,0.750,0.703,0.751,0.661,0.767,0.739,0.763,0.772,0.752,0.776,0.693,0.767,0.729,0.796,0.675,0.678,0.677,0.764,0.660,0.775,0.796,0.777,0.749,0.825,0.653,0.777,0.678,0.763,0.688,0.738,0.698,0.775,0.683,0.710,0.766,0.661,0.774,0.781,0.745,0.783,0.674,0.809,0.673,0.726,0.751,0.780,0.718,0.770,0.662,0.676,0.776,0.676,0.768
Gson15,0.777,0.766,0.747,0.757,0.760,0.761,0.758,0.763,0.797,0.763,0.757,0.781,0.756,0.763,0.749,0.732,0.757,0.744,0.776,0.718,0.760,0.773,0.708,0.769,0.734,0.742,0.732,0.755,0.743,0.756,0.761,0.724,0.764,0.751,0.770,0.767,0.777,0.746,0.751,0.735,0.789,0.780,0.780,0.757,0.787,0.783,0.793,0.767,0.749,0.742,0.760,0.767,0.737,0.757,0.785,0.828,0.757,0.767,0.816,0.735,0.753,0.799,0.779,0.728,0.679,0.776,0.757,0.798,0.776,0.793,0.743,0.780,0.786,0.791,0.799,0.782,0.774,0.831,0.779,0.761,0.816,0.775,0.775,0.776,0.793,0.793,0.802,0.794,1.150,0.796,0.763,0.826,0.799,0.753,0.746,0.762,0.792,0.766,0.806,0.754
Gson16,0.823,0.746,0.764,0.788,0.773,0.826,0.956,0.859,0.777,0.740,0.762,0.945,0.746,0.806,1.181,0.754,0.768,0.765,0.779,0.765,0.873,0.939,0.767,0.756,0.764,0.773,0.757,0.760,0.759,0.777,0.787,0.774,0.786,0.758,0.775,0.800,0.776,0.791,0.775,0.778,0.799,0.779,0.820,0.814,0.799,0.796,0.813,0.843,0.799,0.784,0.753,0.764,0.778,0.745,0.766,0.759,0.801,0.758,0.782,0.824,0.795,0.819,0.870,0.858,0.823,0.772,0.802,0.786,0.785,0.774,0.772,0.808,0.828,0.821,0.804,0.774,0.772,0.822,0.795,0.794,0.805,0.793,0.787,0.811,0.776,0.789,0.826,0.793,0.794,0.775,0.779,0.792,0.843,0.960,0.799,0.836,0.803,0.824,0.806,0.800
Gson17,0.803,0.792,0.832,0.837,0.778,0.786,0.809,0.806,0.844,0.790,0.794,0.788,0.780,0.790,0.799,0.858,0.790,0.785,0.816,0.753,0.794,0.766,0.800,0.761,0.795,0.762,0.754,0.783,0.789,1.040,0.785,0.754,0.788,0.806,0.790,0.795,0.810,0.812,0.820,0.852,0.803,0.829,0.847,0.783,0.809,0.795,0.779,0.805,0.804,0.786,0.774,0.769,0.820,0.804,0.802,0.780,0.808,0.837,0.803,0.814,0.769,0.870,0.806,0.796,0.784,0.739,0.781,0.780,0.756,0.851,0.778,0.786,0.798,1.314,0.798,0.754,0.813,0.782,0.758,0.859,0.906,1.237,0.870,0.841,0.889,0.828,0.755,0.781,0.836,0.804,0.795,0.841,0.783,0.794,0.814,0.784,0.752,0.788,0.775,0.785
Gson18,0.754,0.720,0.765,0.786,0.802,0.740,0.763,0.774,0.765,0.828,1.004,0.790,0.805,0.900,0.786,0.768,0.796,0.764,0.805,0.796,0.837,0.853,0.809,0.828,0.851,0.839,0.856,0.917,0.869,0.835,0.824,0.834,0.826,0.792,0.892,0.792,0.855,0.839,0.766,0.869,0.819,0.819,0.815,0.813,1.008,1.009,0.888,1.431,0.917,0.840,0.870,0.987,0.943,0.973,0.983,1.386,0.775,0.766,0.824,0.819,0.845,0.837,0.882,0.827,0.894,1.069,0.924,0.924,0.930,0.832,0.884,0.841,0.827,0.898,0.740,0.776,0.799,0.756,0.771,0.752,0.813,0.777,0.769,0.762,0.760,0.734,0.790,0.785,0.837,0.778,0.791,0.760,0.745,0.852,0.847,0.769,0.808,0.679,0.770,0.752
Gson1,0.562,0.538,0.594,0.575,0.577,0.544,0.530,0.555,0.560,0.566,0.525,0.545,0.550,0.589,0.525,0.559,0.543,0.518,0.567,0.541,0.539,0.527,0.539,0.509,0.539,0.546,0.535,0.555,0.508,0.536,0.543,0.868,0.552,0.532,0.550,0.538,0.548,0.519,0.525,0.557,0.525,0.560,0.509,0.537,0.557,0.512,0.564,0.529,0.553,0.567,0.560,0.552,0.547,0.536,0.551,0.521,0.544,0.514,0.550,0.570,0.533,0.565,0.537,0.543,0.564,0.554,0.618,0.530,0.533,0.534,0.540,0.538,0.557,0.534,0.522,0.548,0.584,0.584,0.669,0.549,0.533,0.559,0.533,0.574,0.503,0.533,0.562,0.572,0.545,0.526,0.558,0.529,0.539,0.529,0.532,0.522,0.539,0.540,0.591,0.553
Gson2,0.770,0.804,0.700,0.752,0.711,0.702,0.721,0.684,0.741,0.727,1.038,0.696,0.767,0.753,0.750,0.683,0.709,0.738,0.716,0.720,0.709,0.698,0.721,0.732,0.707,0.705,0.778,0.842,0.801,0.832,0.733,0.712,0.708,0.787,0.705,0.700,0.705,0.706,0.722,0.735,1.202,0.771,0.779,0.735,1.238,0.695,0.713,0.728,0.789,0.723,0.742,0.715,0.716,0.715,0.765,0.747,0.760,0.780,0.751,0.772,0.750,0.716,0.750,0.723,0.711,0.730,0.706,0.714,0.761,0.712,1.234,0.728,0.714,0.717,0.723,0.731,0.752,0.748,0.711,0.734,0.724,0.754,0.730,0.762,0.729,0.778,0.710,0.750,0.735,0.770,0.684,0.766,0.734,0.739,0.729,0.726,0.832,0.736,0.776,0.758
Gson3,0.744,0.697,0.732,0.755,0.702,0.726,0.711,0.699,0.622,0.732,0.739,0.682,0.711,0.708,0.714,0.701,0.735,0.712,0.711,0.728,0.731,0.721,0.724,0.700,0.743,0.713,0.714,0.678,0.788,0.713,0.754,0.736,0.735,0.708,0.724,0.719,0.728,0.800,0.789,0.772,0.761,0.752,0.732,0.761,0.728,0.706,0.722,0.775,0.721,0.712,0.753,0.768,0.742,0.703,0.722,0.763,0.742,0.738,0.755,0.746,0.768,0.751,0.760,0.778,0.773,0.795,0.729,0.727,0.750,0.728,0.720,0.719,0.756,0.738,0.712,0.774,0.752,0.764,0.710,0.754,0.740,0.720,0.720,0.750,0.725,0.789,0.735,0.723,0.722,0.741,0.743,0.748,0.750,0.736,0.758,0.769,0.780,0.797,0.773,0.760
