Version,1_Secs,2_Secs,3_Secs,4_Secs,5_Secs,6_Secs,7_Secs,8_Secs,9_Secs,10_Secs
Gson10,0.746,0.723,0.672,0.745,0.716,0.757,0.724,0.736,0.722,0.743
Gson11,0.751,0.665,0.744,0.717,0.761,0.722,0.739,0.731,0.744,0.740
Gson12,0.738,0.648,0.747,0.726,0.738,0.770,0.705,0.761,0.737,0.773
Gson13,0.694,0.737,0.774,0.732,0.746,0.749,0.798,0.720,0.693,0.768
Gson14,0.700,0.732,0.767,0.770,0.720,0.731,0.796,0.741,0.678,0.731
Gson15,0.811,0.744,0.677,0.757,0.676,0.727,0.836,0.735,0.670,0.785
Gson16,0.675,0.683,0.762,0.767,0.654,0.760,0.683,0.731,0.678,0.760
Gson17,0.695,0.674,0.665,0.781,0.668,0.768,0.784,0.685,0.916,0.776
Gson18,0.847,0.754,0.882,0.849,0.840,0.715,0.860,0.945,0.733,0.803
Gson1,0.488,0.541,0.560,0.557,0.559,0.533,0.570,0.565,0.537,0.570
Gson2,0.770,0.742,0.672,0.754,0.732,0.753,0.815,0.695,0.756,0.777
Gson3,0.759,0.655,0.845,0.654,0.645,0.771,0.672,0.757,0.769,0.758
Gson4,0.792,0.755,0.669,0.721,0.774,0.662,0.654,0.742,0.662,0.755
Gson5,0.691,0.648,0.784,0.735,0.657,0.788,0.656,0.740,0.688,0.770
Gson6,0.797,0.663,0.674,0.765,0.777,0.678,0.664,0.751,0.670,0.780
Gson7,0.761,0.816,0.774,0.677,0.793,0.759,0.639,0.675,0.761,0.712
Gson8,0.712,0.753,0.776,0.686,0.818,0.694,0.769,0.757,0.674,0.817
Gson9,0.803,0.801,0.651,0.776,0.681,0.817,0.761,0.772,0.728,0.789
