Version,1_Secs,2_Secs,3_Secs,4_Secs,5_Secs,6_Secs,7_Secs,8_Secs,9_Secs,10_Secs
Gson10,0.791,0.623,0.702,0.630,0.720,0.652,0.725,0.690,0.736,0.719
Gson11,0.784,0.700,0.736,0.720,0.737,0.708,0.705,0.720,0.719,0.739
Gson12,0.827,0.695,0.740,0.697,0.723,0.733,0.716,0.731,0.703,0.727
Gson13,0.827,0.759,0.736,0.716,0.787,0.737,0.780,0.738,0.720,0.719
Gson14,0.817,0.739,0.763,0.757,0.741,0.741,0.706,0.740,0.709,0.740
Gson15,0.800,0.741,0.741,0.751,0.810,0.777,0.866,0.855,0.765,0.763
Gson16,0.809,0.727,0.753,0.749,0.743,0.750,0.724,0.784,0.739,0.757
Gson17,0.781,0.781,0.667,0.757,0.654,0.759,0.770,0.790,0.690,0.778
Gson18,0.819,0.754,0.802,0.784,0.696,0.658,0.694,0.803,0.813,0.676
Gson1,0.556,0.536,0.524,0.473,0.514,0.469,0.537,0.477,0.552,0.519
Gson2,0.669,0.638,0.655,0.696,0.788,0.702,0.740,0.736,0.702,0.613
Gson3,0.765,0.746,0.770,0.637,0.700,0.709,0.720,0.644,0.717,0.714
Gson4,0.745,0.661,0.676,0.762,0.622,0.738,0.707,0.624,0.715,0.634
Gson5,0.778,0.702,0.633,0.765,0.624,0.716,0.629,0.751,0.660,0.664
Gson6,0.861,0.774,0.715,0.687,0.747,0.646,0.713,0.708,0.732,0.719
Gson7,0.798,0.816,0.711,0.783,0.651,0.760,0.765,0.803,0.656,0.770
Gson8,0.712,0.785,0.697,0.673,0.659,0.796,0.639,0.762,0.677,0.766
Gson9,0.721,0.778,0.789,0.675,0.772,0.779,0.708,0.813,0.786,0.701
