Version,1_Secs,2_Secs,3_Secs,4_Secs,5_Secs,6_Secs,7_Secs,8_Secs,9_Secs,10_Secs
JacksonCore10,0.293,0.267,0.294,0.278,0.289,0.269,0.276,0.270,0.272,0.286
JacksonCore11,0.299,0.293,0.257,0.301,0.283,0.265,0.285,0.274,0.285,0.288
JacksonCore12,0.336,0.304,0.267,0.343,0.269,0.262,0.261,0.258,0.302,0.343
JacksonCore13,0.324,0.324,0.277,0.329,0.315,0.303,0.342,0.252,0.291,0.292
JacksonCore14,0.291,0.281,0.271,0.309,0.307,0.309,0.318,0.287,0.273,0.286
JacksonCore15,0.302,0.303,0.285,0.283,0.282,0.270,0.281,0.284,0.289,0.360
JacksonCore16,0.311,0.309,0.312,0.329,0.325,0.311,0.353,0.313,0.291,0.312
JacksonCore17,0.291,0.287,0.340,0.309,0.273,0.292,0.299,0.287,0.295,0.301
JacksonCore18,0.297,0.344,0.295,0.290,0.288,0.317,0.289,0.293,0.278,0.297
JacksonCore19,0.301,0.285,0.305,0.315,0.303,0.323,0.288,0.307,0.301,0.296
JacksonCore1,0.187,0.203,0.173,0.183,0.172,0.184,0.179,0.182,0.201,0.187
JacksonCore20,0.325,0.305,0.320,0.307,0.310,0.352,0.295,0.328,0.356,0.307
JacksonCore21,0.362,0.347,0.346,0.352,0.352,0.342,0.328,0.362,0.338,0.358
JacksonCore22,0.412,0.373,0.370,0.375,0.369,0.379,0.370,0.393,0.386,0.388
JacksonCore23,0.493,0.403,0.448,0.439,0.441,0.458,0.514,0.447,0.429,0.463
JacksonCore24,0.456,0.476,0.471,0.516,0.451,0.481,0.442,0.479,0.446,0.522
JacksonCore25,0.452,0.478,0.423,0.506,0.434,0.397,0.449,0.384,0.452,0.406
JacksonCore26,0.476,0.513,0.445,0.395,0.472,0.470,0.416,0.466,0.411,0.427
JacksonCore2,0.220,0.187,0.168,0.197,0.164,0.179,0.207,0.166,0.180,0.191
JacksonCore3,0.193,0.191,0.187,0.168,0.201,0.185,0.166,0.193,0.172,0.175
JacksonCore4,0.246,0.212,0.191,0.201,0.191,0.200,0.178,0.206,0.201,0.215
JacksonCore5,0.216,0.203,0.231,0.210,0.192,0.182,0.184,0.212,0.186,0.199
JacksonCore6,0.206,0.197,0.211,0.206,0.229,0.203,0.266,0.203,0.252,0.205
JacksonCore7,0.259,0.203,0.195,0.227,0.190,0.197,0.263,0.244,0.197,0.229
JacksonCore8,0.234,0.225,0.220,0.219,0.268,0.206,0.208,0.221,0.210,0.240
JacksonCore9,0.283,0.237,0.256,0.253,0.248,0.238,0.238,0.231,0.226,0.229
