Version,1_Secs,2_Secs,3_Secs,4_Secs,5_Secs,6_Secs,7_Secs,8_Secs,9_Secs,10_Secs
JacksonCore10,0.288,0.264,0.282,0.238,0.274,0.271,0.297,0.276,0.287,0.263
JacksonCore11,0.389,0.324,0.282,0.235,0.295,0.256,0.322,0.266,0.349,0.260
JacksonCore12,0.303,0.246,0.284,0.244,0.239,0.280,0.257,0.274,0.241,0.282
JacksonCore13,0.319,0.261,0.264,0.232,0.277,0.258,0.252,0.276,0.266,0.264
JacksonCore14,0.334,0.310,0.256,0.280,0.250,0.280,0.281,0.276,0.253,0.300
JacksonCore15,0.275,0.270,0.267,0.284,0.327,0.304,0.297,0.284,0.287,0.272
JacksonCore16,0.331,0.317,0.292,0.315,0.297,0.296,0.292,0.296,0.304,0.302
JacksonCore17,0.304,0.287,0.276,0.278,0.285,0.278,0.274,0.271,0.259,0.279
JacksonCore18,0.336,0.291,0.315,0.319,0.338,0.326,0.308,0.292,0.292,0.307
JacksonCore19,0.329,0.298,0.307,0.271,0.263,0.305,0.288,0.278,0.285,0.270
JacksonCore1,0.203,0.156,0.181,0.186,0.159,0.162,0.155,0.162,0.176,0.158
JacksonCore20,0.322,0.298,0.282,0.316,0.315,0.280,0.326,0.273,0.318,0.266
JacksonCore21,0.355,0.299,0.382,0.354,0.373,0.354,0.341,0.302,0.379,0.314
JacksonCore22,0.463,0.416,0.328,0.368,0.363,0.320,0.366,0.364,0.368,0.337
JacksonCore23,0.428,0.432,0.401,0.433,0.414,0.398,0.427,0.386,0.424,0.400
JacksonCore24,0.479,0.386,0.444,0.432,0.384,0.447,0.399,0.451,0.427,0.393
JacksonCore25,0.486,0.439,0.390,0.445,0.383,0.422,0.384,0.435,0.372,0.425
JacksonCore26,0.420,0.444,0.392,0.436,0.429,0.446,0.388,0.459,0.426,0.421
JacksonCore2,0.227,0.218,0.188,0.160,0.188,0.164,0.187,0.180,0.161,0.172
JacksonCore3,0.210,0.176,0.180,0.187,0.164,0.175,0.181,0.179,0.177,0.189
JacksonCore4,0.229,0.190,0.198,0.190,0.193,0.191,0.214,0.190,0.192,0.192
JacksonCore5,0.225,0.192,0.182,0.193,0.170,0.203,0.171,0.178,0.195,0.183
JacksonCore6,0.243,0.197,0.189,0.197,0.195,0.193,0.193,0.197,0.176,0.190
JacksonCore7,0.259,0.210,0.208,0.222,0.206,0.229,0.211,0.215,0.216,0.204
JacksonCore8,0.235,0.231,0.221,0.221,0.221,0.230,0.210,0.213,0.226,0.222
JacksonCore9,0.252,0.239,0.246,0.200,0.213,0.198,0.210,0.219,0.199,0.235
