Version,TotalSeconds
JacksonCore10,23.160
JacksonCore11,21.681
JacksonCore12,21.370
JacksonCore13,21.636
JacksonCore14,23.031
JacksonCore15,23.902
JacksonCore16,25.589
JacksonCore17,25.450
JacksonCore18,25.277
JacksonCore19,26.221
JacksonCore1,21.627
JacksonCore20,24.436
JacksonCore21,25.661
JacksonCore22,26.969
JacksonCore23,29.576
JacksonCore24,29.091
JacksonCore25,29.315
JacksonCore26,28.597
JacksonCore2,23.312
JacksonCore3,23.997
JacksonCore4,24.933
JacksonCore5,23.344
JacksonCore6,23.616
JacksonCore7,24.055
JacksonCore8,24.063
JacksonCore9,24.447
