Version,TotalSeconds
JacksonCore10,167.151
JacksonCore11,167.259
JacksonCore12,161.426
JacksonCore13,158.483
JacksonCore14,159.242
JacksonCore15,159.618
JacksonCore16,152.199
JacksonCore17,163.081
JacksonCore18,169.904
JacksonCore19,173.937
JacksonCore1,96.455
JacksonCore20,164.250
JacksonCore21,164.434
JacksonCore22,132.677
JacksonCore23,170.247
JacksonCore24,166.744
JacksonCore25,162.858
JacksonCore26,174.138
JacksonCore2,98.548
JacksonCore3,50.328
JacksonCore4,53.671
JacksonCore5,57.335
JacksonCore6,53.717
JacksonCore7,81.504
JacksonCore8,86.333
JacksonCore9,93.941
