Version,TotalSeconds
JacksonCore10,46.044
JacksonCore11,46.499
JacksonCore12,49.557
JacksonCore13,46.894
JacksonCore14,47.746
JacksonCore15,57.045
JacksonCore16,50.758
JacksonCore17,47.456
JacksonCore18,48.364
JacksonCore19,48.356
JacksonCore1,30.056
JacksonCore20,50.494
JacksonCore21,61.741
JacksonCore22,72.192
JacksonCore23,92.885
JacksonCore24,94.151
JacksonCore25,91.283
JacksonCore26,95.900
JacksonCore2,30.364
JacksonCore3,31.604
JacksonCore4,34.251
JacksonCore5,32.720
JacksonCore6,33.261
JacksonCore7,35.546
JacksonCore8,37.239
JacksonCore9,37.673
