Version,Minutes,Seconds
JacksonCore10,0,0.288
JacksonCore11,0,0.310
JacksonCore12,0,0.319
JacksonCore13,0,0.307
JacksonCore14,0,0.344
JacksonCore15,0,0.326
JacksonCore16,0,0.328
JacksonCore17,0,0.322
JacksonCore18,0,0.346
JacksonCore19,0,0.307
JacksonCore1,0,0.233
JacksonCore20,0,0.367
JacksonCore21,0,0.387
JacksonCore22,0,0.414
JacksonCore23,0,0.514
JacksonCore24,0,0.479
JacksonCore25,0,0.489
JacksonCore26,0,0.453
JacksonCore2,0,0.245
JacksonCore3,0,0.297
JacksonCore4,0,0.248
JacksonCore5,0,0.251
JacksonCore6,0,0.277
JacksonCore7,0,0.304
JacksonCore8,0,0.343
JacksonCore9,0,0.350
