Version,1_Secs,2_Secs,3_Secs,4_Secs,5_Secs,6_Secs,7_Secs,8_Secs,9_Secs,10_Secs
JxPath10,0.272,0.292,0.253,0.306,0.236,0.259,0.234,0.270,0.238,0.274
JxPath11,0.282,0.263,0.271,0.260,0.248,0.258,0.267,0.240,0.286,0.237
JxPath12,0.321,0.285,0.274,0.245,0.268,0.290,0.244,0.282,0.269,0.303
JxPath13,0.335,0.325,0.264,0.278,0.276,0.250,0.287,0.284,0.250,0.302
JxPath14,0.299,0.335,0.324,0.286,0.286,0.299,0.259,0.252,0.286,0.259
JxPath15,0.303,0.255,0.251,0.273,0.283,0.258,0.280,0.285,0.279,0.270
JxPath16,0.302,0.303,0.257,0.257,0.310,0.257,0.290,0.288,0.291,0.255
JxPath17,0.323,0.284,0.305,0.292,0.299,0.259,0.301,0.260,0.298,0.279
JxPath18,0.313,0.309,0.291,0.292,0.323,0.281,0.308,0.323,0.324,0.266
JxPath19,0.328,0.321,0.301,0.317,0.313,0.290,0.292,0.357,0.297,0.335
JxPath1,0.274,0.268,0.231,0.250,0.256,0.256,0.243,0.255,0.281,0.261
JxPath20,0.323,0.368,0.316,0.312,0.312,0.322,0.304,0.324,0.298,0.321
JxPath21,0.371,0.379,0.321,0.316,0.303,0.310,0.320,0.300,0.318,0.330
JxPath22,0.336,0.313,0.313,0.338,0.296,0.378,0.311,0.308,0.318,0.330
JxPath2,0.277,0.254,0.257,0.250,0.264,0.240,0.269,0.283,0.278,0.254
JxPath3,0.288,0.254,0.264,0.266,0.258,0.261,0.285,0.258,0.263,0.294
JxPath4,0.284,0.346,0.261,0.283,0.264,0.288,0.277,0.267,0.274,0.265
JxPath5,0.307,0.268,0.276,0.279,0.282,0.270,0.271,0.327,0.281,0.257
JxPath6,0.286,0.300,0.279,0.268,0.287,0.278,0.283,0.289,0.274,0.296
JxPath7,0.286,0.296,0.275,0.321,0.280,0.287,0.277,0.288,0.283,0.272
JxPath8,0.287,0.265,0.269,0.313,0.273,0.307,0.273,0.282,0.280,0.312
JxPath9,0.295,0.287,0.265,0.273,0.304,0.298,0.328,0.282,0.290,0.272
