Version,1_Secs,2_Secs,3_Secs,4_Secs,5_Secs,6_Secs,7_Secs,8_Secs,9_Secs,10_Secs
JxPath10,0.298,0.264,0.265,0.269,0.270,0.274,0.268,0.264,0.291,0.287
JxPath11,0.297,0.273,0.268,0.267,0.269,0.271,0.271,0.277,0.264,0.309
JxPath12,0.299,0.271,0.274,0.274,0.283,0.281,0.265,0.293,0.315,0.267
JxPath13,0.291,0.282,0.275,0.257,0.289,0.261,0.272,0.269,0.298,0.267
JxPath14,0.286,0.278,0.269,0.268,0.275,0.278,0.261,0.266,0.305,0.286
JxPath15,0.319,0.296,0.299,0.279,0.275,0.282,0.291,0.281,0.265,0.271
JxPath16,0.287,0.274,0.264,0.283,0.285,0.280,0.260,0.274,0.285,0.279
JxPath17,0.315,0.253,0.251,0.273,0.254,0.275,0.254,0.286,0.250,0.283
JxPath18,0.291,0.300,0.272,0.277,0.308,0.278,0.253,0.289,0.262,0.290
JxPath19,0.332,0.300,0.290,0.257,0.310,0.265,0.292,0.264,0.296,0.267
JxPath1,0.261,0.238,0.244,0.244,0.242,0.251,0.243,0.235,0.245,0.239
JxPath20,0.314,0.270,0.306,0.318,0.261,0.304,0.268,0.286,0.262,0.263
JxPath21,0.315,0.276,0.296,0.288,0.281,0.274,0.295,0.275,0.281,0.262
JxPath22,0.328,0.267,0.290,0.260,0.303,0.295,0.263,0.298,0.270,0.301
JxPath2,0.251,0.236,0.249,0.224,0.220,0.243,0.249,0.242,0.238,0.220
JxPath3,0.259,0.222,0.254,0.224,0.220,0.258,0.257,0.217,0.247,0.220
JxPath4,0.276,0.242,0.260,0.232,0.280,0.225,0.264,0.240,0.273,0.229
JxPath5,0.290,0.244,0.275,0.231,0.233,0.230,0.235,0.233,0.275,0.232
JxPath6,0.282,0.274,0.228,0.272,0.272,0.266,0.235,0.234,0.294,0.233
JxPath7,0.300,0.276,0.237,0.279,0.266,0.235,0.264,0.263,0.235,0.263
JxPath8,0.282,0.281,0.282,0.300,0.261,0.273,0.273,0.284,0.290,0.319
JxPath9,0.292,0.267,0.269,0.262,0.266,0.267,0.251,0.287,0.257,0.268
