Version,1_Secs,2_Secs,3_Secs,4_Secs,5_Secs,6_Secs,7_Secs,8_Secs,9_Secs,10_Secs
Lang10,1.761,1.609,1.599,1.670,1.628,1.694,1.581,1.627,1.619,1.656
Lang11,1.687,1.596,1.603,1.648,1.603,1.606,1.550,1.438,1.572,1.639
Lang12,1.694,1.710,1.610,1.596,1.602,1.641,1.602,1.669,1.639,1.608
Lang13,1.700,1.581,1.565,1.611,1.603,1.369,1.538,1.556,1.615,1.558
Lang14,1.643,1.534,1.516,1.501,1.489,1.539,1.343,1.476,1.509,1.550
Lang15,1.613,1.516,1.420,1.314,1.478,1.516,1.513,1.578,1.458,1.600
Lang16,1.579,1.535,1.317,1.520,1.309,1.577,1.367,1.555,1.497,1.504
Lang17,1.457,1.406,1.373,1.395,1.405,1.380,1.398,1.478,1.399,1.422
Lang18,1.494,1.409,1.387,1.297,1.459,1.352,1.412,1.405,1.363,1.325
Lang19,1.473,1.355,1.215,1.423,1.411,1.371,1.232,1.408,1.219,1.395
Lang1,1.595,1.777,1.772,1.742,1.600,1.714,1.699,1.605,1.763,1.716
Lang20,1.439,1.376,1.198,1.345,1.224,1.418,1.224,1.417,1.364,1.202
Lang21,1.412,1.368,1.341,1.347,1.292,1.372,1.378,1.316,1.306,1.314
Lang22,1.411,1.311,1.248,1.277,1.377,1.302,1.337,1.369,1.334,1.347
Lang23,1.396,1.298,1.376,1.323,1.310,1.326,1.349,1.356,1.361,1.343
Lang24,1.394,1.364,1.462,1.342,1.482,1.496,1.684,1.428,1.473,1.384
Lang25,1.442,1.337,1.370,1.435,1.593,1.476,1.586,1.467,1.362,1.321
Lang26,1.524,1.450,1.588,1.562,1.353,1.370,1.369,1.338,1.296,1.352
Lang27,1.402,1.226,1.278,1.307,1.167,1.313,1.342,1.309,1.384,1.173
Lang28,1.387,1.176,1.306,1.155,1.313,1.150,1.312,1.172,1.275,1.170
Lang29,1.385,1.296,1.276,1.258,1.340,1.138,1.310,1.127,1.303,1.197
Lang30,1.277,1.241,1.322,1.235,1.280,1.284,1.264,1.277,1.271,1.273
Lang31,1.303,1.262,1.250,1.271,1.254,1.296,1.414,1.292,1.269,1.283
Lang32,1.258,1.283,1.275,1.232,1.230,1.081,1.255,1.212,1.219,1.267
Lang33,1.409,1.273,1.218,1.263,1.250,1.271,1.273,1.317,1.239,1.275
Lang34,1.129,1.240,1.278,1.104,1.267,1.270,1.267,1.318,1.297,1.288
Lang35,1.371,1.118,1.152,1.260,1.113,1.253,1.113,1.270,1.253,1.198
Lang36,1.290,1.222,1.298,1.267,1.334,1.282,1.242,1.339,1.276,1.216
Lang37,1.235,1.108,1.268,1.107,1.304,1.197,1.254,1.191,1.267,1.278
Lang38,1.385,1.127,1.243,1.149,1.316,1.108,1.088,1.114,1.258,1.120
Lang39,1.269,1.155,1.130,1.123,1.293,1.141,1.321,1.074,1.287,1.120
Lang3,1.773,1.759,1.655,1.655,1.654,1.645,1.679,1.637,1.657,1.709
Lang40,1.415,1.132,1.305,1.266,1.199,1.295,1.281,1.320,1.242,1.338
Lang41,1.334,1.268,1.269,1.312,1.223,1.125,1.263,1.326,1.197,1.276
Lang42,1.529,1.312,1.416,1.379,1.383,1.461,1.473,1.277,1.373,1.342
Lang43,1.557,1.364,1.244,1.404,1.184,1.285,1.315,1.598,1.397,1.445
Lang44,1.339,1.272,1.466,1.175,1.275,1.122,1.283,1.164,1.264,1.443
Lang45,1.273,1.275,1.122,1.276,1.090,1.260,1.096,1.289,1.108,1.310
Lang46,1.165,1.075,1.273,1.067,1.237,1.073,1.245,1.089,1.272,1.080
Lang47,1.121,1.260,1.070,1.265,1.125,1.259,1.074,1.254,1.149,1.272
Lang48,1.119,1.048,1.223,1.200,1.134,1.121,1.240,1.044,1.208,1.212
Lang49,1.203,1.296,1.129,1.071,1.226,1.127,1.304,1.046,1.182,1.051
Lang4,1.841,1.562,1.850,1.604,1.782,1.517,1.509,1.580,1.792,1.539
Lang50,1.270,1.098,1.215,1.064,1.227,1.250,1.229,1.062,1.233,1.191
Lang51,1.231,1.123,1.046,1.166,1.007,1.184,1.017,1.211,1.161,1.170
Lang52,1.076,1.006,1.197,1.007,1.156,1.284,1.048,1.171,1.017,1.146
Lang53,1.241,1.203,1.119,1.137,1.036,1.168,1.011,1.022,1.165,1.000
Lang54,1.184,1.326,1.204,1.333,1.312,1.165,1.241,1.461,1.170,1.157
Lang55,1.211,1.188,1.194,1.146,1.156,1.118,1.132,1.147,1.144,1.162
Lang56,1.221,1.146,1.146,1.129,1.117,1.146,1.278,1.130,1.159,1.108
Lang57,1.202,1.119,1.171,1.210,1.150,1.165,1.203,1.275,1.130,1.105
Lang58,1.202,1.186,1.013,1.131,1.015,1.115,1.147,1.120,1.222,1.090
Lang59,1.228,1.149,1.030,1.174,1.174,1.238,1.190,1.264,1.188,1.195
Lang5,1.870,1.475,1.705,1.458,1.722,1.708,1.441,1.676,1.459,1.460
Lang60,1.164,1.121,1.080,1.192,1.028,1.119,1.156,1.139,1.130,1.160
Lang61,1.204,1.192,1.169,1.124,1.149,1.167,1.116,1.093,1.113,1.174
Lang62,1.168,0.975,1.089,1.087,1.135,1.098,1.129,1.172,1.132,1.108
Lang63,1.206,1.134,1.112,1.107,1.119,1.159,1.158,1.097,1.125,1.147
Lang64,1.180,0.971,1.150,1.124,1.095,1.206,1.098,1.122,1.121,1.130
Lang65,1.080,0.987,1.052,1.110,1.069,1.098,1.170,1.119,1.110,1.089
Lang6,1.833,1.863,1.924,1.705,1.641,1.681,1.730,1.719,1.632,1.999
Lang7,1.571,1.724,1.728,1.492,1.622,1.644,1.661,1.661,1.629,1.681
Lang8,1.691,1.595,1.599,1.641,1.427,1.611,1.627,1.646,1.583,1.718
Lang9,1.817,1.876,1.810,1.765,1.597,1.651,1.660,1.682,1.899,1.703
