Version,1_Secs,2_Secs,3_Secs,4_Secs,5_Secs,6_Secs,7_Secs,8_Secs,9_Secs,10_Secs
Lang10,1.628,1.492,1.463,1.496,1.551,1.537,1.528,1.573,1.549,1.562
Lang11,1.610,1.520,1.459,1.478,1.545,1.487,1.514,1.437,1.513,1.514
Lang12,1.631,1.525,1.508,1.517,1.327,1.530,1.479,1.521,1.468,1.478
Lang13,1.620,1.494,1.514,1.511,1.535,1.420,1.499,1.551,1.365,1.505
Lang14,1.551,1.491,1.484,1.495,1.523,1.472,1.305,1.478,1.289,1.493
Lang15,1.555,1.454,1.464,1.452,1.249,1.424,1.410,1.269,1.447,1.247
Lang16,1.512,1.415,1.253,1.474,1.280,1.406,1.328,1.373,1.359,1.291
Lang17,1.411,1.289,1.350,1.320,1.335,1.281,1.372,1.386,1.430,1.355
Lang18,1.409,1.220,1.167,1.381,1.213,1.300,1.397,1.338,1.360,1.306
Lang19,1.431,1.351,1.315,1.343,1.279,1.345,1.225,1.344,1.328,1.276
Lang1,1.744,1.570,1.595,1.562,1.708,1.548,1.411,1.653,1.458,1.597
Lang20,1.393,1.267,1.332,1.151,1.340,1.186,1.183,1.381,1.381,1.207
Lang21,1.363,1.289,1.303,1.329,1.250,1.308,1.134,1.167,1.334,1.147
Lang22,1.413,1.330,1.183,1.325,1.177,1.364,1.136,1.152,1.335,1.120
Lang23,1.361,1.273,1.174,1.136,1.305,1.191,1.340,1.157,1.144,1.339
Lang24,1.360,1.298,1.140,1.318,1.161,1.282,1.142,1.308,1.168,1.129
Lang25,1.317,1.225,1.311,1.169,1.159,1.317,1.305,1.148,1.165,1.334
Lang26,1.372,1.159,1.291,1.145,1.179,1.443,1.213,1.326,1.254,1.142
Lang27,1.340,1.090,1.157,1.210,1.339,1.252,1.480,1.496,1.287,1.422
Lang28,1.509,1.352,1.469,1.374,1.420,1.345,1.234,1.432,1.554,1.433
Lang29,1.454,1.306,1.417,1.422,1.311,1.185,1.252,1.324,1.290,1.283
Lang30,1.378,1.109,1.283,1.209,1.395,1.150,1.379,1.402,1.403,1.232
Lang31,1.465,1.540,1.300,1.244,1.129,1.144,1.285,1.254,1.143,1.191
Lang32,1.329,1.209,1.244,1.365,1.356,1.376,1.205,1.282,1.205,1.311
Lang33,1.578,1.313,1.477,1.338,1.295,1.202,1.257,1.284,1.138,1.311
Lang34,1.252,1.152,1.258,1.215,1.239,1.277,1.240,1.220,1.220,1.145
Lang35,1.160,1.192,1.248,1.258,1.206,1.221,1.156,1.173,1.189,1.122
Lang36,1.091,1.121,1.148,1.102,1.135,1.108,1.122,1.187,1.164,1.121
Lang37,1.265,1.166,1.149,1.142,1.120,1.123,1.031,1.110,1.017,1.175
Lang38,1.103,1.150,1.005,1.192,1.201,1.014,1.167,1.156,1.019,1.145
Lang39,1.223,1.112,0.987,1.209,1.051,1.160,1.218,1.264,1.054,1.209
Lang3,1.783,1.691,1.640,1.719,1.652,1.557,1.740,1.653,1.478,1.644
Lang40,1.262,1.052,1.211,1.151,1.204,1.193,1.024,1.184,1.108,1.125
Lang41,1.239,1.146,1.025,1.034,1.135,1.048,1.140,1.016,1.118,1.059
Lang42,1.360,1.112,1.211,1.230,1.286,1.207,1.094,1.086,1.225,1.224
Lang43,1.257,1.241,1.254,1.113,1.078,1.266,1.309,1.080,1.219,1.263
Lang44,1.334,1.160,1.154,1.148,1.228,1.260,1.257,1.300,1.246,1.328
Lang45,1.391,1.084,1.288,1.262,1.067,1.274,1.138,1.227,1.256,1.205
Lang46,1.234,1.181,1.173,1.176,1.170,1.209,1.218,1.285,1.209,1.203
Lang47,1.324,1.170,1.180,1.173,1.179,1.210,1.205,1.198,1.204,1.209
Lang48,1.211,1.113,1.114,1.199,1.054,1.138,1.001,1.147,1.025,1.156
Lang49,1.223,1.013,1.113,0.971,1.139,0.993,1.021,1.136,0.982,1.170
Lang4,1.694,1.640,1.425,1.755,1.887,1.554,1.674,1.503,1.577,1.643
Lang50,1.351,1.154,1.162,1.176,1.132,1.144,1.170,1.104,1.147,1.076
Lang51,1.185,1.078,1.119,1.101,1.209,1.188,1.116,1.142,1.101,1.093
Lang52,1.252,1.098,1.145,1.046,1.112,1.126,1.076,1.120,1.135,0.991
Lang53,1.193,1.150,1.159,1.216,1.147,1.113,1.093,1.133,1.123,1.089
Lang54,1.279,1.188,1.187,1.166,1.097,1.088,1.258,1.122,1.175,1.088
Lang55,1.159,1.139,1.133,1.113,1.111,1.085,1.134,1.256,1.175,1.304
Lang56,1.200,1.079,1.090,1.104,1.113,1.094,1.101,1.036,1.093,1.056
Lang57,1.167,0.931,1.106,0.968,1.114,0.933,1.114,0.951,1.112,1.115
Lang58,1.231,1.079,1.057,1.124,1.051,1.150,1.004,1.083,1.105,1.079
Lang59,1.257,1.120,1.114,1.080,0.954,1.096,1.079,1.094,0.933,1.112
Lang5,1.647,1.409,1.538,1.457,1.440,1.594,1.562,1.722,1.587,1.595
Lang60,1.304,1.025,0.966,1.075,0.978,1.111,1.107,1.091,1.088,1.039
Lang61,1.218,1.091,1.152,1.081,0.961,1.142,1.116,1.095,0.973,1.075
Lang62,1.178,0.971,1.097,0.956,1.091,1.228,1.158,1.040,1.209,1.133
Lang63,1.131,1.034,1.066,1.238,0.949,0.951,1.070,1.108,0.938,0.997
Lang64,1.188,1.068,0.933,1.101,0.972,1.073,0.927,0.961,1.120,1.115
Lang65,1.145,0.930,0.930,0.924,1.039,0.932,1.038,1.035,1.062,0.913
Lang6,1.729,1.583,1.603,1.372,1.600,1.374,1.635,1.419,1.600,1.663
Lang7,1.525,1.631,1.430,1.577,1.762,1.557,1.629,1.373,1.661,1.653
Lang8,1.419,1.361,1.348,1.563,1.417,1.367,1.595,1.533,1.564,1.408
Lang9,1.769,1.780,1.709,1.603,1.337,1.628,1.364,1.358,1.474,1.581
