Version,TotalSeconds
Lang10,1172.070
Lang11,1084.861
Lang12,1000.324
Lang13,979.600
Lang14,926.768
Lang15,914.337
Lang16,908.400
Lang17,797.587
Lang18,797.373
Lang19,776.168
Lang1,1309.372
Lang20,777.315
Lang21,733.882
Lang22,733.644
Lang23,732.136
Lang24,728.185
Lang25,730.072
Lang26,709.207
Lang27,704.571
Lang28,682.778
Lang29,678.275
Lang30,658.756
Lang31,648.050
Lang32,615.175
Lang33,617.904
Lang34,620.541
Lang35,588.002
Lang36,582.501
Lang37,581.435
Lang38,577.284
Lang39,572.932
Lang3,1152.360
Lang40,597.012
Lang41,583.475
Lang42,644.100
Lang43,645.147
Lang44,628.214
Lang45,624.712
Lang46,577.727
Lang47,577.476
Lang48,535.446
Lang49,528.017
Lang4,1146.794
Lang50,589.261
Lang51,532.071
Lang52,533.638
Lang53,526.055
Lang54,516.710
Lang55,521.669
Lang56,507.745
Lang57,511.720
Lang58,507.740
Lang59,510.092
Lang5,1121.723
Lang60,504.391
Lang61,501.427
Lang62,507.643
Lang63,499.115
Lang64,496.291
Lang65,477.684
Lang6,1147.019
Lang7,1164.566
Lang8,1084.819
Lang9,1123.737
