Version,Minutes,Seconds
Lang10,0,1.567
Lang11,0,1.493
Lang12,0,1.500
Lang13,0,1.521
Lang14,0,1.375
Lang15,0,1.348
Lang16,0,1.422
Lang17,0,1.224
Lang18,0,1.250
Lang19,0,1.363
Lang1,0,1.679
Lang20,0,1.403
Lang21,0,1.493
Lang22,0,1.442
Lang23,0,1.351
Lang24,0,1.175
Lang25,0,1.121
Lang26,0,1.155
Lang27,0,1.129
Lang28,0,1.082
Lang29,0,1.331
Lang30,0,1.240
Lang31,0,1.313
Lang32,0,1.158
Lang33,0,1.128
Lang34,0,1.063
Lang35,0,1.067
Lang36,0,1.024
Lang37,0,1.053
Lang38,0,1.050
Lang39,0,1.064
Lang3,0,1.579
Lang40,0,0.990
Lang41,0,1.062
Lang42,0,1.178
Lang43,0,1.207
Lang44,0,1.277
Lang45,0,1.109
Lang46,0,1.044
Lang47,0,1.157
Lang48,0,1.012
Lang49,0,1.087
Lang4,0,1.430
Lang50,0,1.104
Lang51,0,0.998
Lang52,0,1.088
Lang53,0,1.069
Lang54,0,1.038
Lang55,0,1.043
Lang56,0,1.048
Lang57,0,0.980
Lang58,0,1.158
Lang59,0,1.014
Lang5,0,1.793
Lang60,0,1.207
Lang61,0,1.255
Lang62,0,1.263
Lang63,0,1.264
Lang64,0,1.246
Lang65,0,1.003
Lang6,0,1.545
Lang7,0,1.492
Lang8,0,1.485
Lang9,0,1.446
