Math100,0.856,1.225,0.831,0.821,0.845,0.843,0.791,0.841,0.820,0.835,0.839,0.823,0.826,0.862,0.840,0.860,0.817,0.833,0.837,0.802,0.834,0.838,0.824,0.835,0.836,0.845,0.855,0.869,0.821,0.819,0.749,0.829,0.821,0.821,0.841,0.838,0.833,0.846,0.839,0.827,0.838,0.854,0.840,0.829,0.920,0.853,0.829,0.720,0.835,0.855,0.824,0.815,0.985,0.846,0.810,0.806,0.813,0.828,0.813,0.812,0.790,0.827,0.842,0.824,0.816,0.810,0.887,0.848,0.834,0.838,0.846,0.810,0.825,0.846,0.849,0.838,0.828,0.823,0.796,0.838,0.847,0.810,0.841,0.849,0.841,0.853,0.814,0.820,0.881,0.844,0.889,0.851,0.876,0.872,0.849,0.866,0.846,0.816,0.826,0.839
Math101,0.840,0.834,0.839,0.816,0.737,0.812,0.817,0.818,0.824,0.854,0.840,0.849,0.874,0.838,0.837,0.842,0.806,0.841,0.801,0.843,0.838,0.864,0.824,0.805,0.851,0.844,0.867,0.856,0.864,0.854,0.857,0.989,0.890,0.919,0.973,0.853,0.843,0.860,0.899,0.874,0.823,0.864,0.867,0.899,0.864,0.832,0.855,0.887,0.863,0.900,0.845,0.898,0.843,0.849,0.835,0.837,1.096,0.923,0.827,0.943,0.834,0.842,0.833,0.845,0.860,0.902,0.852,0.847,0.846,0.835,0.869,0.870,0.859,0.847,0.843,0.854,0.832,0.875,0.850,0.844,0.885,0.857,0.868,0.848,0.835,0.905,0.846,0.839,0.902,0.848,0.840,0.838,0.906,0.844,0.830,0.847,0.838,0.979,0.948,0.820
Math102,0.848,0.775,0.788,0.784,0.795,0.802,0.773,0.792,0.781,0.773,0.797,0.820,0.816,0.764,0.828,0.787,0.799,0.777,0.810,0.814,0.793,0.791,0.776,0.792,0.785,0.784,0.832,0.791,0.813,0.766,0.813,0.829,0.804,0.798,0.803,0.801,0.779,0.814,0.806,0.821,0.776,0.803,0.768,0.773,0.827,0.765,0.741,0.798,0.815,0.748,0.827,0.740,0.800,0.845,0.791,0.800,0.793,0.825,0.813,0.819,0.784,0.867,0.794,0.812,0.793,0.830,0.779,0.794,0.793,0.829,0.778,0.808,0.956,0.837,0.805,0.744,0.791,0.807,0.787,0.811,0.779,0.812,0.784,0.804,0.786,0.840,0.807,0.831,0.821,0.824,0.799,0.914,0.818,0.829,0.773,0.847,0.824,0.902,0.853,0.865
Math103,0.702,0.698,0.720,0.713,0.692,0.719,0.726,0.703,0.717,0.746,0.713,0.755,0.689,0.713,0.707,0.686,0.711,0.674,0.802,0.961,0.691,0.718,0.782,0.768,0.803,0.742,0.747,0.867,0.811,0.837,0.794,0.757,0.746,0.704,0.716,0.745,0.799,0.781,0.745,0.771,0.829,0.878,0.833,0.712,0.815,0.720,0.709,0.810,0.789,0.739,0.773,0.712,0.715,0.781,0.799,0.735,0.766,0.706,0.792,0.760,0.697,0.708,0.751,0.688,0.773,0.774,0.717,0.769,0.760,0.787,0.724,0.709,0.739,0.717,0.712,0.707,0.745,0.711,0.800,0.723,0.773,0.776,0.739,0.908,0.933,0.829,0.830,0.775,0.637,0.774,0.793,0.996,1.034,0.894,0.961,0.899,0.973,0.920,0.821,0.920
Math104,0.790,0.905,0.753,0.815,0.903,0.767,0.791,0.749,0.718,0.722,0.729,0.739,0.729,0.724,0.789,0.706,0.744,0.768,0.758,0.729,0.743,0.719,0.686,0.728,0.711,0.711,0.702,0.708,0.682,0.725,0.758,0.757,0.767,0.692,0.707,0.727,0.744,0.687,0.720,0.710,0.684,0.724,0.701,0.747,0.679,0.744,0.675,0.741,0.727,0.690,0.788,0.762,0.765,0.757,0.829,0.744,0.732,0.712,0.606,0.750,0.817,1.122,0.843,0.797,0.795,0.799,0.754,0.777,0.769,0.740,0.747,0.778,0.754,0.737,0.717,0.764,0.754,0.856,0.743,0.790,0.726,0.703,0.725,0.749,0.759,0.708,0.707,0.722,0.763,0.730,1.223,0.722,0.747,0.802,0.744,0.715,0.690,0.691,0.685,0.711
Math105,0.673,0.606,0.637,0.613,0.617,0.615,0.618,0.599,0.668,0.652,0.678,0.673,0.711,0.665,0.673,0.670,0.682,0.682,0.652,0.642,0.653,0.634,0.622,0.670,0.647,0.659,0.622,0.677,0.643,0.642,0.650,0.609,0.623,0.630,0.615,0.624,0.651,0.642,0.599,0.634,0.607,0.614,0.627,0.636,0.642,0.660,0.617,0.647,0.636,0.689,0.691,0.698,0.613,0.710,0.661,0.669,0.624,0.649,0.611,0.625,0.670,0.694,0.698,0.711,0.684,0.701,0.628,0.652,0.618,0.664,0.635,0.633,0.678,0.633,0.632,0.640,0.650,0.650,0.646,0.641,0.667,0.656,0.656,0.679,0.727,0.653,0.729,0.719,0.710,0.705,0.735,0.680,0.671,0.721,1.056,0.688,0.681,0.664,0.667,0.723
Math106,1.232,0.648,0.540,0.716,0.588,0.669,1.112,0.579,0.659,0.532,0.646,0.539,0.622,0.564,0.646,0.553,0.734,0.564,0.622,0.638,0.555,0.780,0.807,0.704,0.771,0.659,0.743,0.641,0.688,0.764,0.543,0.638,0.577,0.655,0.602,0.614,0.631,0.562,0.623,0.635,0.588,0.652,0.553,0.644,0.588,0.694,0.636,0.688,0.616,0.692,0.741,0.708,0.641,0.761,0.707,0.699,0.641,0.727,0.710,0.608,0.699,0.646,0.764,0.693,0.730,0.694,0.687,0.720,0.709,0.694,0.690,0.734,0.736,0.702,0.665,0.627,0.699,0.663,0.717,0.681,0.706,0.726,0.755,0.731,0.722,0.692,0.723,1.176,0.708,0.658,0.730,0.681,0.695,0.642,0.696,0.677,0.719,0.718,0.683,0.717
Math10,2.468,2.907,2.829,2.807,2.960,2.794,2.528,2.975,2.858,2.973,2.958,2.811,2.960,2.923,2.866,2.893,2.926,2.986,2.941,2.968,2.949,2.974,2.907,2.919,2.900,2.912,2.798,2.924,2.820,2.549,2.834,2.614,2.568,2.943,2.899,2.860,2.841,2.773,2.851,2.583,2.769,2.812,2.814,2.809,2.796,2.762,2.806,2.744,2.775,2.731,2.771,2.732,2.824,2.874,2.841,2.809,2.409,2.807,3.602,2.890,2.743,2.824,2.759,2.775,2.700,2.848,2.707,2.845,2.784,2.815,2.802,2.892,3.305,2.784,2.789,2.773,2.810,2.785,2.747,2.905,2.787,2.792,2.781,2.860,2.759,2.427,2.791,2.982,2.749,2.837,2.768,2.681,2.840,2.873,2.778,2.533,2.547,2.844,2.895,2.455
Math11,2.780,3.289,3.164,3.196,3.164,3.158,3.124,3.148,3.180,3.229,3.510,3.198,3.230,3.568,3.118,3.110,2.985,2.931,2.899,2.550,2.838,2.557,2.892,2.810,2.486,2.905,2.809,2.464,2.863,2.513,2.807,2.828,2.499,2.524,2.879,2.797,3.119,2.870,2.875,3.201,2.555,2.836,2.612,3.360,2.481,2.828,2.819,2.527,2.875,2.594,2.763,2.520,2.802,2.451,2.899,2.514,2.773,2.544,2.902,2.497,2.820,2.797,2.542,2.841,2.782,2.883,2.593,2.926,2.523,2.839,2.512,2.789,2.504,2.879,2.547,2.880,2.892,2.583,2.530,2.661,2.558,2.853,2.522,2.878,2.567,2.865,2.524,2.575,2.954,2.559,3.315,3.044,2.583,3.203,2.578,3.090,2.563,2.964,3.082,3.183
Math12,3.141,2.749,2.783,2.828,2.796,2.729,2.779,2.848,2.698,2.821,2.743,3.778,3.351,2.952,2.769,2.904,3.079,2.772,2.740,2.898,2.774,2.833,2.500,3.190,2.498,2.792,3.074,2.780,2.892,2.823,2.943,2.839,2.960,3.068,2.988,3.114,2.713,3.215,3.543,2.911,2.837,3.038,3.425,3.608,3.315,3.020,2.571,3.088,3.075,3.115,3.091,2.980,2.749,2.944,2.946,3.307,2.815,3.006,2.853,2.760,2.822,2.865,2.956,2.921,2.981,2.957,2.786,2.877,2.984,2.896,2.732,2.867,3.353,2.985,2.708,2.837,2.920,2.852,2.835,2.828,2.670,2.699,2.511,2.852,2.712,2.492,2.780,2.808,2.462,2.862,2.523,2.458,2.434,2.938,2.509,2.743,2.461,2.844,2.465,2.423
