Version,1_Secs,2_Secs,3_Secs,4_Secs,5_Secs,6_Secs,7_Secs,8_Secs,9_Secs,10_Secs
Math100,0.854,0.814,0.784,0.828,0.796,0.868,0.857,0.822,0.815,0.814
Math101,0.835,0.820,0.762,0.802,0.800,0.821,0.805,0.778,0.822,0.788
Math102,0.744,0.747,0.738,0.833,0.756,0.794,0.794,0.804,0.811,0.768
Math103,0.740,0.705,0.683,0.672,0.716,0.713,0.718,0.746,0.676,0.714
Math104,0.726,0.685,0.645,0.692,0.701,0.620,0.711,0.662,0.707,0.659
Math105,0.673,0.629,0.582,0.648,0.639,0.608,0.590,0.604,0.631,0.643
Math106,0.636,0.633,0.618,0.623,0.609,0.605,0.604,0.549,0.599,0.533
Math10,2.845,2.655,2.772,2.680,2.808,2.816,2.807,2.698,2.877,2.700
Math11,2.510,3.144,2.587,2.674,2.805,2.790,2.767,2.986,2.860,2.789
Math12,2.668,2.671,2.911,2.789,2.911,2.974,2.937,2.928,2.649,2.817
Math13,3.190,2.911,3.047,2.940,3.257,2.641,2.749,2.834,2.511,2.537
Math14,2.846,2.739,2.435,2.798,2.788,2.428,2.800,2.635,2.953,2.582
Math15,2.510,2.568,2.501,2.514,3.174,2.454,3.166,2.653,2.789,2.317
Math16,2.704,2.223,2.443,2.221,2.499,2.204,2.453,2.198,2.461,2.516
Math17,2.531,2.167,2.494,2.128,2.462,2.418,2.160,2.170,2.408,2.418
Math18,2.452,2.200,2.405,2.250,2.430,2.364,2.216,2.407,2.154,2.404
Math19,2.492,2.400,2.374,2.475,2.440,2.105,2.154,2.374,2.164,2.778
Math1,3.225,3.095,3.128,3.101,3.055,3.034,3.417,3.249,3.280,3.191
Math20,2.511,2.339,2.352,2.133,2.500,2.446,2.210,2.519,2.202,2.513
Math21,2.628,2.440,2.412,2.514,2.439,2.565,2.487,2.443,2.529,2.533
Math22,2.241,2.529,2.549,2.537,2.472,2.557,2.445,2.536,2.501,2.528
Math23,2.500,2.485,2.508,2.418,2.446,2.459,2.526,2.439,2.524,2.402
Math24,2.552,2.519,2.382,2.470,2.467,2.174,2.507,2.573,2.528,2.441
Math25,2.501,2.472,2.462,2.500,2.439,2.392,2.451,2.407,2.475,2.388
Math26,2.512,2.415,2.428,2.404,2.384,2.461,2.423,2.410,2.374,2.391
Math27,2.269,2.144,2.169,2.123,2.128,2.449,2.334,2.480,2.425,2.184
Math28,2.588,2.351,2.143,2.613,2.709,2.329,2.245,2.364,2.145,2.342
Math29,2.065,1.978,2.240,2.021,2.202,2.083,2.285,2.216,2.236,2.238
Math2,3.248,2.984,3.119,2.724,3.135,3.025,3.034,3.069,2.710,2.689
Math30,2.200,2.132,1.910,2.121,1.994,1.890,2.235,2.176,1.894,2.197
Math31,2.151,2.177,2.089,2.055,2.124,2.061,2.090,2.160,2.073,2.085
Math32,2.135,2.078,2.027,2.125,2.079,2.214,2.267,2.152,2.069,2.013
Math33,2.147,1.831,1.850,2.136,2.046,1.793,2.059,1.848,1.828,2.136
Math34,1.871,2.041,1.800,2.004,1.817,2.036,1.830,1.806,1.831,2.094
Math35,1.905,2.065,1.809,1.842,1.813,2.047,1.834,2.032,1.839,2.033
Math36,1.891,2.072,2.115,2.052,1.875,2.158,2.076,1.803,2.025,1.831
Math37,1.957,2.162,2.105,2.088,2.171,2.054,2.192,1.827,2.206,2.098
Math38,1.843,1.828,2.070,1.859,2.150,2.087,2.095,1.848,2.154,1.843
Math39,2.112,2.022,2.095,1.872,2.071,1.894,1.825,2.122,1.870,2.054
Math3,3.239,3.019,3.057,3.106,3.265,3.087,3.058,3.093,3.050,3.141
Math40,2.030,2.267,2.062,1.748,2.022,1.997,1.764,1.989,1.827,1.964
Math41,2.123,2.085,1.967,2.058,1.977,1.996,1.997,1.980,2.004,1.756
Math42,2.079,2.011,1.978,1.968,1.987,1.954,2.022,1.949,1.995,2.028
Math43,2.028,1.922,1.815,1.975,2.046,1.973,2.002,2.011,1.948,1.915
Math44,2.008,1.777,1.941,1.942,1.996,1.942,1.929,1.949,1.947,1.892
Math45,2.000,1.980,1.958,1.891,1.863,1.937,1.857,1.906,1.744,1.913
Math46,1.838,1.798,1.832,1.814,1.870,1.943,1.843,1.830,1.678,1.847
Math47,1.870,1.861,1.800,1.850,1.894,1.844,1.849,1.845,1.628,1.698
Math48,1.842,1.789,1.834,1.745,1.812,1.795,1.887,1.862,1.891,1.877
Math49,1.699,1.853,1.839,1.803,1.831,1.791,1.825,1.841,1.844,1.606
Math4,3.397,2.867,3.212,2.821,2.878,3.582,2.968,3.240,2.838,3.179
Math50,1.899,1.794,1.810,1.593,1.806,1.815,1.843,1.801,1.805,1.590
Math51,1.910,1.594,1.845,1.618,1.810,1.588,1.820,1.595,1.797,1.589
Math52,1.662,1.583,1.586,1.745,1.582,1.722,1.586,1.755,1.560,1.814
Math53,1.552,1.802,1.588,1.876,1.775,1.622,1.523,1.542,1.785,1.521
Math54,2.018,1.752,1.434,1.421,1.474,1.656,1.482,1.633,1.468,1.631
Math55,1.525,1.698,1.652,1.651,1.611,1.664,1.629,1.662,1.583,1.703
Math56,1.553,1.630,1.611,1.508,1.679,1.415,1.655,1.442,1.633,1.448
Math57,1.662,1.575,1.627,1.460,1.592,1.634,1.586,1.670,1.670,1.684
Math58,1.595,1.610,1.580,1.530,1.562,1.601,1.582,1.610,1.408,1.639
Math59,1.560,1.517,1.501,1.623,1.511,1.613,1.526,1.545,1.450,1.492
Math5,3.140,3.072,3.141,3.061,3.053,3.049,3.054,3.034,3.111,2.985
Math60,1.621,1.489,1.315,1.481,1.298,1.346,1.494,1.367,1.487,1.322
Math61,1.696,1.427,1.656,1.468,1.629,1.534,1.633,1.638,1.410,1.383
Math62,1.674,1.559,1.414,1.600,1.473,1.442,1.453,1.409,1.406,1.484
Math63,1.672,1.373,1.572,1.360,1.376,1.513,1.364,1.537,1.471,1.506
Math64,1.663,1.380,1.418,1.382,1.416,1.551,1.381,1.373,1.413,1.613
Math65,1.620,1.546,1.581,1.612,1.538,1.399,1.397,1.542,1.357,1.552
Math66,1.640,1.345,1.516,1.380,1.535,1.385,1.399,1.368,1.543,1.334
Math67,1.587,1.497,1.580,1.550,1.595,1.758,1.519,1.516,1.527,1.548
Math68,1.370,1.516,1.476,1.373,1.519,1.501,1.495,1.585,1.520,1.503
Math69,1.394,1.575,1.477,1.506,1.539,1.493,1.509,1.608,1.508,1.565
Math6,3.112,2.692,3.081,2.695,2.790,3.161,2.679,3.142,2.997,3.049
Math70,1.353,1.518,1.325,1.542,1.328,1.499,1.427,1.497,1.311,1.296
Math71,1.376,1.279,1.476,1.265,1.506,1.336,1.271,1.301,1.522,1.291
Math72,1.593,1.420,1.303,1.380,1.495,1.287,1.504,1.279,1.500,1.297
Math73,1.538,1.351,1.365,1.381,1.498,1.529,1.328,1.355,1.527,1.542
Math74,1.503,1.260,1.509,1.429,1.328,1.494,1.466,1.494,1.276,1.482
Math75,1.336,1.481,1.512,1.287,1.525,1.319,1.454,1.290,1.556,1.307
Math76,1.519,1.475,1.510,1.305,1.509,1.327,1.542,1.321,1.328,1.570
Math77,1.364,1.465,1.334,1.490,1.331,1.501,1.309,1.479,1.303,1.506
Math78,1.328,1.523,1.465,1.534,1.487,1.492,1.497,1.474,1.319,1.457
Math79,1.515,1.398,1.468,1.464,1.487,1.463,1.494,1.486,1.482,1.515
Math7,2.677,3.108,3.110,3.017,2.597,3.263,2.646,2.970,3.027,2.621
Math80,1.572,1.568,1.551,1.542,1.480,1.491,1.491,1.518,1.523,1.459
Math81,1.528,1.486,1.477,1.433,1.503,1.442,1.482,1.459,1.878,1.421
Math82,1.489,1.506,1.420,1.471,1.404,1.466,1.390,1.469,1.450,1.506
Math83,1.497,1.303,1.420,1.346,1.408,1.296,1.486,1.470,1.462,1.490
Math84,1.573,1.479,1.319,1.351,1.478,1.334,1.430,1.479,1.507,1.427
Math85,1.444,1.367,1.365,1.393,1.480,1.493,1.461,1.382,1.429,1.423
Math86,1.412,1.351,1.170,1.301,1.311,1.372,1.323,1.395,1.307,1.321
Math87,1.307,1.274,1.381,1.465,1.179,1.286,1.385,1.333,1.396,1.325
Math88,1.384,1.360,1.298,1.288,1.372,1.325,1.347,1.283,1.352,1.297
Math89,1.217,1.184,1.193,1.275,1.205,1.252,1.216,1.177,1.222,1.154
Math8,3.080,3.054,2.956,3.125,2.984,2.942,2.994,2.986,2.935,2.944
Math90,1.273,1.178,1.053,1.194,1.076,1.164,1.162,1.035,1.192,1.053
Math91,1.213,1.173,1.173,1.160,1.223,1.214,1.178,1.174,1.212,1.156
Math92,0.956,1.018,1.067,1.044,1.074,1.017,1.069,1.074,0.967,1.023
Math93,1.118,1.063,1.039,1.056,1.035,1.047,1.065,1.042,1.059,1.108
Math94,1.004,0.970,1.078,1.089,0.931,1.033,0.912,1.014,0.914,1.008
Math95,0.986,0.832,0.874,0.811,0.818,0.887,0.802,0.882,0.893,0.893
Math96,0.841,0.786,0.879,0.921,0.803,0.869,0.868,0.826,0.930,0.881
Math97,0.880,0.740,0.754,0.779,0.737,0.687,0.770,0.704,0.743,0.682
Math98,0.814,0.664,0.754,0.700,0.746,0.667,0.754,0.717,0.756,0.759
Math99,1.164,1.095,0.967,1.107,0.981,1.131,1.112,1.062,0.968,1.065
Math9,2.839,2.963,3.117,2.987,3.046,3.039,3.106,2.955,2.937,2.984
