Version,1_Secs,2_Secs,3_Secs,4_Secs,5_Secs,6_Secs,7_Secs,8_Secs,9_Secs,10_Secs
Math100,0.925,0.995,0.827,0.828,0.832,0.850,0.823,0.862,0.872,0.807
Math101,0.932,0.829,0.944,0.821,0.835,0.821,0.838,0.796,0.884,0.819
Math102,0.847,0.836,0.808,0.822,0.893,0.809,0.875,0.885,0.834,0.852
Math103,0.768,0.635,0.701,0.635,0.734,0.657,0.626,0.760,0.635,0.770
Math104,0.795,0.690,0.713,0.718,0.625,0.708,0.688,0.695,0.633,0.729
Math105,0.769,0.736,0.777,0.751,0.735,0.689,0.626,0.636,0.672,0.757
Math106,0.820,0.712,0.661,0.646,0.649,0.619,0.697,0.575,0.635,0.638
Math10,2.365,2.618,2.487,2.424,2.768,2.814,2.375,3.103,2.700,2.870
Math11,2.966,2.794,2.965,2.817,2.960,2.935,2.896,2.987,2.864,2.933
Math12,2.895,2.950,2.803,2.882,2.920,2.590,2.670,2.960,2.746,2.948
Math13,2.843,2.543,2.913,2.704,3.178,2.794,3.215,3.184,3.142,2.464
Math14,2.779,2.896,3.070,3.224,2.927,2.668,3.419,3.558,3.653,3.520
Math15,3.003,3.191,3.268,2.889,3.182,3.233,2.686,2.505,3.462,4.020
Math16,3.685,3.138,3.131,2.810,2.634,2.684,2.781,2.876,2.753,2.979
Math17,3.385,2.732,2.695,2.891,2.616,2.574,2.310,2.318,2.903,2.571
Math18,3.496,2.650,2.897,2.496,2.384,2.342,2.328,2.763,2.672,2.676
Math19,3.253,2.665,2.995,2.580,2.591,2.498,2.345,2.356,2.252,2.714
Math1,3.249,2.721,3.055,2.724,3.152,2.863,3.338,2.925,3.284,3.166
Math20,2.856,2.391,2.896,4.087,2.989,2.444,2.359,3.041,3.129,3.191
Math21,2.863,2.814,2.669,2.536,2.768,2.688,2.868,2.432,2.682,2.816
Math22,2.886,2.780,2.564,2.885,2.492,2.870,2.984,2.834,2.609,2.295
