Version,TotalSeconds
Math100,35.821
Math101,36.903
Math102,34.027
Math103,30.415
Math104,29.582
Math105,27.511
Math106,28.337
Math10,251.013
Math11,248.102
Math12,244.703
Math13,242.950
Math14,245.201
Math15,212.604
Math16,211.616
Math17,205.201
Math18,205.623
Math19,201.928
Math1,318.199
Math20,203.895
Math21,200.281
Math22,194.963
Math23,193.231
Math24,195.665
Math25,191.123
Math26,180.464
Math27,183.437
Math28,180.615
Math29,166.196
Math2,313.942
Math30,159.554
Math31,151.360
Math32,146.978
Math33,149.268
Math34,147.716
Math35,147.844
Math36,150.181
Math37,150.572
Math38,135.944
Math39,136.514
Math3,306.248
Math40,137.641
Math41,136.089
Math42,135.355
Math43,136.122
Math44,142.924
Math45,140.252
Math46,138.695
Math47,132.678
Math48,138.782
Math49,133.330
Math4,300.849
Math50,130.923
Math51,126.769
Math52,123.096
Math53,121.188
Math54,116.274
Math55,109.213
Math56,105.805
Math57,104.785
Math58,101.109
Math59,96.814
Math5,333.885
Math60,98.551
Math61,98.750
Math62,97.238
Math63,96.881
Math64,110.761
Math65,103.504
Math66,102.144
Math67,105.001
Math68,97.378
Math69,100.053
Math6,320.188
Math70,94.932
Math71,96.549
Math72,95.498
Math73,92.410
Math74,91.823
Math75,90.410
Math76,94.149
Math77,94.730
Math78,90.620
Math79,79.805
Math7,325.901
Math80,76.396
Math81,76.063
Math82,72.114
Math83,72.826
Math84,72.288
Math85,70.128
Math86,63.920
Math87,64.054
Math88,64.850
Math89,57.067
Math8,266.803
Math90,56.952
Math91,56.407
Math92,46.508
Math93,45.995
Math94,46.371
Math95,40.264
Math96,38.965
Math97,32.914
Math98,32.926
Math99,48.695
Math9,269.899
