Version,TotalSeconds
Math100,359.329
Math101,364.115
Math102,336.913
Math103,256.267
Math104,253.821
Math105,198.819
Math106,190.529
Math10,3878.223
Math11,4034.890
Math12,3832.439
Math13,3678.839
Math14,3671.967
Math15,3167.502
Math16,3158.655
Math17,3024.937
Math18,3015.914
Math19,3000.802
Math1,4970.595
Math20,3089.479
Math21,3007.537
Math22,3028.225
Math23,2963.881
Math24,2958.548
Math25,2775.738
Math26,2770.403
Math27,2946.929
Math28,2744.293
Math29,2282.605
Math2,5269.463
Math30,2227.952
Math31,2068.964
Math32,2039.072
Math33,2043.703
Math34,2012.438
Math35,1997.926
Math36,1974.067
Math37,2015.765
Math38,1840.125
Math39,1834.456
Math3,4400.274
Math40,1861.094
Math41,1843.254
Math42,1878.637
Math43,1959.334
Math44,1926.818
Math45,1848.857
Math46,1753.996
Math47,1763.004
Math48,1689.764
Math49,1614.037
Math4,4274.987
Math50,1707.323
Math51,1687.250
Math52,1649.419
Math53,1603.248
Math54,1459.653
Math55,1378.008
Math56,1393.361
Math57,1320.603
Math58,1299.583
Math59,1227.270
Math5,4642.106
Math60,1063.654
Math61,1227.243
Math62,1225.479
Math63,1217.532
Math64,1344.022
Math65,1340.495
Math66,1324.959
Math67,1329.689
Math68,1156.852
Math69,1103.986
Math6,4387.607
Math70,1102.843
Math71,1063.822
Math72,1033.083
Math73,1030.745
Math74,1024.150
Math75,1028.570
Math76,1032.771
Math77,1024.213
Math78,1000.004
Math79,1000.044
Math7,4176.594
Math80,1000.418
Math81,990.633
Math82,931.550
Math83,927.805
Math84,924.757
Math85,872.101
Math86,796.855
Math87,791.666
Math88,787.406
Math89,630.789
Math8,4087.900
Math90,625.837
Math91,623.260
Math92,480.409
Math93,482.056
Math94,474.227
Math95,353.105
Math96,336.385
Math97,251.319
Math98,250.751
Math99,524.547
Math9,4033.613
